full_url,slug,title,subtitle,author,author_image,date,description,tags,word_count,hero_image,wide_image
https://za.virtualhospitalsafrica.org/blog/why-we-must-reimagine-care-in-africa,why-we-must-reimagine-care-in-africa,Why we must reimagine care in Africa,,Dr. Sikhululiwe Ngwenya,https://za.virtualhospitalsafrica.org/blog/images/authors/skhu.png,2026/05/12,A blog post from Chief Medical Officer Dr. Sikhululiwe Ngwenya exploring how Virtual Hospitals Africa's digital health system can reduce overwhelm for health workers,"medicine,africa",2413,https://za.virtualhospitalsafrica.org/blog/images/why-we-must-reimagine-care-in-africa/skhu-portrait.jpg,https://za.virtualhospitalsafrica.org/blog/images/why-we-must-reimagine-care-in-africa/skhu-wide.png
https://za.virtualhospitalsafrica.org/blog/how-health-workers-can-love-their-devices,how-health-workers-can-love-their-devices,How Health Workers Can Love Their Devices,Learning from Dr. Atul Gawande and letting practitioners focus on care,Will Weiss,https://za.virtualhospitalsafrica.org/blog/images/authors/will-weiss.png,2026/04/21,A blog post from Chief Technology Officer Will Weiss exploring how Virtual Hospitals Africa's digital health system can reduce overwhelm for health workers,"ux design,medicine",1665,https://za.virtualhospitalsafrica.org/blog/images/how-health-workers-can-love-their-devices/lindiwe-holding-tablet.png,https://za.virtualhospitalsafrica.org/blog/images/how-health-workers-can-love-their-devices/lindiwe-holding-tablet-wide.png
