id	created_at	updated_at	strength_numerator	manufactured_medication_id	consumable_id
72	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	12.5	51	73
73	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	300	52	74
74	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	300	43	75
75	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	400	53	76
76	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	100	54	77
77	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	10	55	78
78	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	300	51	79
79	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	1001	56	80
80	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	600	52	81
81	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	50	57	82
82	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	400	58	83
83	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	216	59	84
84	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	100	60	85
85	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	20	61	86
86	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	300	57	87
87	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	2	62	88
88	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	125	63	89
89	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	100	64	90
90	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	300	65	91
91	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	200	66	92
92	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	10	67	93
93	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	30	68	94
94	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	300	57	95
95	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	600	65	96
96	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	10	69	97
97	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	125	70	98
98	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	400	71	99
99	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	200	72	100
100	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	250	73	101
101	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	40	74	102
102	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	60	75	103
103	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	50	76	104
104	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	1	77	105
105	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	10	78	106
106	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	250	79	107
107	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	200	80	108
108	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	300	76	109
109	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	200	81	110
110	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	500	82	111
111	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	20	83	112
112	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	5	84	113
113	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	20	85	114
114	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	300	76	115
115	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	10	86	116
116	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	250	87	117
117	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	1	88	118
118	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	10	84	119
119	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	400	89	120
120	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	200	90	121
121	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	10	91	122
122	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	20	92	123
123	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	5	93	124
124	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	45	84	125
125	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	50	94	126
126	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	10	95	127
127	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	200	96	128
128	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	200	97	129
129	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	20	98	130
130	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	250	99	131
131	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	1	100	132
132	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	450	84	133
