condition_id	icd10_code	created_at	updated_at
c_9991	H66.90	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_8270	R74.8	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_10005	E11.3599	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_2812	D53.9	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_21955	V89.2XXA	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_21955	V89.2XXD	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_21955	V89.2XXS	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_11608	A20.9	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_4297	K62.3	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_23378	M23.90	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_15456	K43.2	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_21796	L13.1	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_21806	T81.40XA	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_21806	T81.40XD	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_21806	T81.40XS	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_10646	L81.4	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9412	N30.90	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_3442	M51.9	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_8806	J38.00	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_329	L02.93	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_4505	E11.21	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_11557	A57	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_14830	N39.0	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_14830	A41.9	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_14681	B00.4	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_4273	C94.00	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_3363	K38.1	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_11529	M83.4	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_10466	C90.30	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_10664	L41.1	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_2507	R19.00	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_8242	Q67.6	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_4582	N13.5	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_8816	A17.0	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_10615	A58	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_8588	L97.909	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9966	H26.8	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_2908	I62.00	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_2898	F41.9	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_8155	E83.01	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_10082	Q82.8	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_25515	E11.21	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_14677	J09.X2	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_10206	E04.2	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_2473	M31.30	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_10196	N30.10	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_8747	N15.1	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_10414	C62.90	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_4696	C44.92	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_15162	Q79.2	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_2178	G45.9	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_6669	L05.91	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_11068	D34	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_8283	R64	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9925	M40.50	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9758	R45.83	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_6687	N76.0	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9021	J43.9	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_19394	K80.50	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_10847	D72.823	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_10040	G54.9	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_10692	B07.9	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_8311	A54.42	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_2926	H16.9	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9613	R21	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_8137	E26.81	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9662	R04.1	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_10033	D23.9	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9097	O36.5990	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_8304	T75.3XXA	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_8304	T75.3XXD	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_8304	T75.3XXS	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9880	H27.10	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9879	H04.309	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_2957	M11.80	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_5814	D65	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_5024	I05.9	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_5423	E80.20	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_21876	C55	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9426	S52.209A	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9426	S52.209B	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9426	S52.209C	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9426	S52.209D	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9426	S52.209E	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9426	S52.209F	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9426	S52.209G	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9426	S52.209H	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9426	S52.209J	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9426	S52.209K	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9426	S52.209M	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9426	S52.209N	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9426	S52.209P	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9426	S52.209Q	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9426	S52.209R	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9426	S52.209S	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_11903	B69.9	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_5076	H57.02	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_8512	R58	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_5457	R19.5	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_10432	D18.1	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_10639	M31.0	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_11227	N28.89	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_8744	A55	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_23534	G56.00	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_11505	N05.0	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_10317	C80.1	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_21772	L98.5	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_10650	T87.30	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_10649	D36.10	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_8314	C57.00	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9869	N76.2	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_19934	S63.006A	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_19934	S63.006D	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_19934	S63.006S	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_21789	L40.3	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_21800	L50.5	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_21790	R23.4	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9686	R29.898	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_2570	K55.9	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_4238	F03.90	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_16260	G40.901	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_10424	C56.9	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_8955	G93.9	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_10622	L81.9	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9392	L08.9	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_4453	E51.2	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_10397	C49.9	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_29972	S00.35XA	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_29972	S00.35XD	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_29972	S00.35XS	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_2445	K76.89	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9914	M47.812	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_6659	J35.2	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_10823	K27.3	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_6660	T74.92XA	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_6660	T74.92XD	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_6660	T74.92XS	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_2151	D50.9	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_5884	R82.4	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_10075	L81.4	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_4713	M43.10	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_6704	R10.83	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_6694	J05.0	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_8148	E74.21	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_10674	L58.9	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_8536	K52.9	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_8190	I81	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_8189	D49.9	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_8189	I74.9	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_8200	J61	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_8162	E87.8	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_11121	D23.9	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_2462	E27.40	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_2951	L68.0	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_25525	I15.0	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_2213	I27.81	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_8179	F50.00	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_2968	H46.9	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_8180	G06.0	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_2254	K64.9	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_10362	C62.90	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_4270	R76.11	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_29990	T14.8XXA	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_29990	T14.8XXD	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_29990	T14.8XXS	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_29990	W50.3XXA	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_29990	W50.3XXD	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_29990	W50.3XXS	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_2933	R33.9	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_8131	D49.89	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_2064	I85.00	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_10698	B35.1	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_10708	H80.90	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_10334	N83.299	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_17420	I76	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_8113	A05.1	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_2916	C92.00	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_3234	I71.9	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_4221	D75.89	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_4488	Q63.1	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_8841	T86.91	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_20151	T42.0X1A	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_20151	T42.0X1D	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_20151	T42.0X1S	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_8224	N64.4	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_10448	D49.2	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_8165	E66.2	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_8782	E88.9	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_2864	M79.606	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_4349	K60.5	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_10030	L98.0	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_3910	R09.89	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_3370	K59.89	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_21762	Q82.8	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_10736	D25.9	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9429	K05.10	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9696	S05.00XA	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9696	S05.00XD	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9696	S05.00XS	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9706	K04.7	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_10369	D35.00	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_10370	D18.00	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9430	K05.20	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_4384	F80.9	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_3851	I15.0	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_10386	C49.9	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_21778	R63.39	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9505	G47.33	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9568	N50.89	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_2341	C62.90	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_4948	S06.330A	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_4948	S06.330D	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_4948	S06.330S	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_19525	S32.009A	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_19525	S32.009B	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_19525	S32.009D	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_19525	S32.009G	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_19525	S32.009K	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_19525	S32.009S	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_17534	F40.02	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_10612	I96	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_4716	Q23.1	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_13441	O66.0	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_8391	D68.00	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_3345	N21.1	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_2882	K73.9	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_15065	F10.27	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_8397	E74.00	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_8407	C78.6	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_10857	I89.8	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_10293	C44.721	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_10303	D36.9	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9734	G40.909	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_8381	E70.21	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_10352	D49.9	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_11190	S54.10XA	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_11190	S54.10XD	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_11190	S54.10XS	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_11189	S62.90XA	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_11189	S62.90XB	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_11189	S62.90XD	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_11189	S62.90XG	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_11189	S62.90XK	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_11189	S62.90XP	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_11189	S62.90XS	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_2358	M80.88XA	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_2358	M80.88XD	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_2358	M80.88XG	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_2358	M80.88XK	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_2358	M80.88XP	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_2358	M80.88XS	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_2161	I89.9	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_11217	S82.90XA	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_11217	S82.90XB	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_11217	S82.90XC	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_11217	S82.90XD	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_11217	S82.90XE	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_11217	S82.90XF	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_11217	S82.90XG	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_11217	S82.90XH	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_11217	S82.90XJ	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_11217	S82.90XK	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_11217	S82.90XM	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_11217	S82.90XN	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_11217	S82.90XP	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_11217	S82.90XQ	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_11217	S82.90XR	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_11217	S82.90XS	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9811	L53.9	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_10553	C22.8	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_2923	C90.00	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_11086	D36.9	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9907	M20.40	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9897	M48.00	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_2167	F10.10	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_4062	R46.3	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_2202	H66.90	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_2192	H00.19	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_11211	K58.9	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_2299	L30.9	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_2309	L52	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_4731	J62.8	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_8572	J68.3	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_8336	M31.19	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9801	H57.03	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_10630	D71	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_8235	M71.20	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_3450	K31.89	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_2317	M81.0	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9940	B39.9	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9940	H32	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9939	B35.4	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_8138	E28.0	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9271	K14.8	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_8277	R82.3	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9908	M92.519	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9898	S82.009A	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9898	S82.009B	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9898	S82.009C	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9898	S82.009D	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
