condition_id	icd10_code	created_at	updated_at
c_17535	F40.01	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_4574	K29.40	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9438	R20.0	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9698	H35.30	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9708	K08.109	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_10510	K82.4	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_10509	K83.1	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_14670	J16.0	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_15759	H11.30	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_10433	D16.4	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_21936	B25.8	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_21936	H32	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_10631	D71	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_17263	D56.1	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_21729	L63.9	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_21730	L65.0	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_4341	K63.5	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_4323	N63.0	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_21736	L81.3	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9421	S02.92XA	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9421	S02.92XB	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9421	S02.92XD	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9421	S02.92XG	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9421	S02.92XK	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9421	S02.92XS	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_3953	R06.4	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_10760	N64.59	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_2222	I83.90	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_6436	L73.2	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_8153	N28.89	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_4046	M79.10	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9270	K14.8	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9269	J39.2	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_10343	C80.1	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_2271	R17	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_8337	M31.4	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_10233	L30.5	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9774	C78.7	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_6713	F91.9	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9725	H50.00	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_2239	R04.2	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_2240	J64	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9802	G25.89	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_19534	I61.5	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9126	R29.898	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_4933	I95.9	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_2211	Q24.9	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_2488	N94.6	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_8171	D73.5	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_4123	E87.20	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_4878	D49.7	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_4064	G70.9	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_15379	D58.2	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_10076	L12.0	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_2212	I25.10	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_10423	D39.2	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_10673	Q82.8	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_10472	C49.9	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_30572	J45.30	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9900	H02.109	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9890	Q65.2	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9889	Q65.5	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_10455	C74.90	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_25510	N00.9	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_10457	C69.20	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9948	L72.0	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
