id	exclude_id	code_range_start	code_range_end	code_range_start_dash	code_range_end_dash
412	6921	F80	F89	f	f
413	6936	E40	E46	f	f
414	6973	Z30	Z31	f	f
415	6974	Z30	Z31	f	f
416	6986	Z55	Z65	f	f
417	6991	F98.2	F98.3	f	f
418	6994	E40	E64	f	f
419	7000	Z55	Z65	f	f
420	7018	T51	T65	f	f
421	7020	W88	W90	f	f
422	7026	Z93	Z99	f	f
423	7029	F11	F19	f	f
424	7059	B90	B94	f	f
425	7072	Z85.40	Z85.44	f	f
426	7089	M20	M21	f	f
427	7090	Q71	Q73	f	f
428	7128	Z95.2	Z95.4	f	f
429	7135	T82	T85	f	f
430	7136	Z44	Z46	f	f
431	7137	T82	T85	f	f
432	7138	Z44	Z46	f	f
433	7142	Z43	Z49	f	f
434	7143	Z08	Z09	f	f
