id	value	units
38495137-bf5e-47fc-b825-6806724a1a68	250	MG
b5f2acd0-a2d3-45d0-925a-00db0f164974	50	MG
b5a44f38-0870-470e-b774-4cd7db5cb845	10	MG
35e489be-69a8-418a-9c4a-57e5d54047d4	100	ML
87396f24-f6a3-499d-b540-febd2910e720	100	MG
7a914d4f-cdbf-4488-8c26-f66e5ad1f2e8	2	MG
3df7465c-a4d8-446f-940f-4d6a14c0963d	10	MG
0010c4ca-4175-43f7-9b8c-21a84957afc3	2	ML
84aa5296-499d-4fb3-a548-f1cadc4fe645	1	M
881a0b1b-20a1-46d8-9132-e2706e1a5552	4	MG
72ede7c2-5ef5-4413-8c29-6793eeb2d5c3	2	MG
efb2c585-8b79-4962-9e63-e963c01e4dd5	2	G
a883a490-a670-4c08-b31e-a36126dbba7e	100	MG
a0ccbb86-4b33-421a-b1f8-408cd82dfca8	200	MG
ee8e3318-ba1e-4972-93e4-ca91eb17fceb	50	MG
ec46671b-03f2-49c0-a84a-68fcb1d1a13c	40	MG
baff8472-659f-4ffe-a257-a5eed05dde1e	10	MG
b2c3dd2c-f806-46ff-9bf6-5551ee16667a	100	MG
f5feb2f0-c6ad-4fbd-b7e0-60ddfa4c668d	25	MG
62cded0b-5823-4d4d-85b1-21e27f3ab804	75	MG
6c17dde5-f678-4382-b418-c05800e36b1d	400	MG
2ba00479-a1c9-4ba6-a302-9c226a1c8bbc	100	MG
dc271214-07e1-4144-af76-5d95bb683075	25	MG
19c01880-bf14-4e92-bea0-9bc1cf834602	200	MG
56e38974-8cbb-4bd2-b6a2-7532b275d0f4	50	MG
5d1c0683-f0cd-4585-9472-06cd1f222aec	500	MG
c54bd5f6-68d1-46f1-84c1-89a931ea335a	25	MG
b235ded4-286f-478d-9685-258d330c3162	1	MG
77e8390a-4eb7-49b3-8d48-1e863cf75396	2	MG
8f031eee-44e6-4c22-b07b-3b02488482f9	4	MG
8c393cb1-7081-40c3-99a4-7d3550f07175	200	MG
e1b0c2e8-4c46-46c0-b34b-3334461042f4	200	MG
e8185540-adc9-4773-9afe-104fdd943c17	10	MG
3048313b-9a92-480b-9644-4effeabab85e	5	MG
814f2ac6-01a9-444e-8a07-f70a1bc66d05	100	MG
df54c445-2cec-42b4-b269-46965af4f17c	25	MG
f6f8e6c8-a0ee-426b-9412-050b2a0b9c3a	25	MG
d7ae92d6-79e7-4a06-8e8d-072f6d22c027	5	MG
351aa066-ddab-4a22-84c2-07341f0b7a22	10	MG
8704d51c-6d8e-48dc-9212-fd979ed4612f	5	MG
46a94782-deb3-440d-9d44-f6e14c00ba2b	10	MG
0ad0b69e-1fdc-4190-9c48-ec03dc0a697e	5	MG
2c8aaf9c-33b8-4e09-aa70-e632bc6a7432	10	MG
32590c82-ed86-4c34-b646-fdb2ddba4c61	2.5	MG
58426154-6434-4580-beda-7a6ebe4985cc	5	MG
3c89ea82-1828-461c-b3ea-32bc0b18b355	10	MG
4705b5eb-d901-4265-9c7c-55c7d7428d7a	5	MG
a01c85b2-9d75-4ff8-a86a-ab5e4e28339b	10	MG
e1b40b20-2118-4d75-9c14-9ed4f32fb925	5	MG
2399bc08-ea9c-4aaa-baaa-8c790353082f	10	MG
ef428de2-21ba-4c46-b218-ed084bf8a7e7	40	MG
4392a3cb-21df-43f5-8a38-4ce378377969	5	MG
8b591137-bf4c-4b9c-9a90-cf4389df5b16	80	MG
2ff4285a-964c-4b88-a950-cc50a296ba33	5	MG
0ab3ce0b-4f3b-441d-86ae-883fe01ea402	40	MG
e8f90593-4baf-492f-961d-2347f30c78c5	10	MG
1feab1b2-4d98-48a3-bf94-3e653f0cf883	80	MG
ac572c1a-18c8-43f6-b67c-ec29070c7e55	5	MG
92965548-9c25-411b-89e7-6054bf0fa61c	10	MG
293bfd84-890b-48c2-8220-14116fef8303	10	MG
8e0643b8-d1a7-4e3d-a6cc-4ccc48740c76	5	MG
9a145109-59e9-45aa-9220-393d682426ad	125	MG
6312e2cc-4245-4c58-b057-3f18a29d0e4a	250	MG
9a436f4b-431a-4d48-84ae-c5e3ec35e1cb	500	MG
6af60fd5-5459-4dc6-ad05-40da26b1c952	250	MG
b57e91c2-8be5-488c-928d-7c96df1f82fe	250	MG
b71de41b-32d0-408f-a076-d67f797a5634	125	MG
70e70b97-3a7c-4b5c-9569-3455738949b0	500	MG
e105e438-ce4d-469a-88d6-8e10df2c23b1	250	MG
c3f078d9-4235-4e8c-88e9-d2e66c8792f9	250	MG
581469b9-933b-4620-9093-1d589bfa3860	125	MG
4a498e1f-cfed-4aa4-bc38-fefb9ef6ecd8	50	MG
7de0408f-4359-436f-99ca-eeae5471610b	500	MG
ea536083-26ad-4208-98a6-90fd960ebd0d	500	MG
d8d297db-e667-40ae-a33d-1525fedc7fb0	500	MG
1e99c5b4-1a69-4e29-be05-c6d8aae76410	500	MG
1607db4a-9a91-4642-9d5a-40cf1b733416	400	MG
3cdd218d-6642-48eb-a10b-289f676b38af	22.7	MG
56e34471-04a2-46fb-9e55-10e6cc88e2c7	200	MG
84905747-330e-498c-ad22-3fd5dd40a419	400	MG
2bac6adc-42b9-461a-876b-93cd321785c5	25	MG
83b37c21-5137-4ac8-9879-4ea1ac41c694	1	MG
6828ad20-322e-4f51-bd7d-433e96aacec5	22.5	MG
0d0e5d1c-1aa0-44f9-a648-21ef7b3d5708	3	MG
faf5c84f-cff2-4aaf-aee2-996f0aeeff11	10	MG
41ea8652-4c87-48ea-9f84-46e117bfb4d0	1	MG
50159a3c-ce37-4316-89a8-f8fd03af0603	100	MG
33cbb105-957f-436a-b683-b4eb1d37e297	25	MG
77d2449e-23d3-450f-bd47-48e8a1bb95fe	0.1	MG
3d6e7dbb-e4d3-4afd-9370-c0db6900df27	500	MG
aac43ade-5360-481a-acd2-a359897bcbf6	500	MG
60ecc2ef-69db-4345-98e1-96d5563abe40	120	MG
03539dd1-6fe6-4a29-a30a-21416c5e3533	125	MG
e84302f5-8f10-46d1-a767-fc29b7a4ec56	400	MG
24dff0aa-84b5-4ffd-b740-4fdba3560cf2	150	MG
a66b53ac-bb70-4b8b-871b-7aef8f379717	75	MG
6dc3f5c1-6ddf-4bd6-8fe7-ee87d501e1fd	300	MG
a5f3bdd4-56f5-4265-88ae-3e0c69c5bbef	100	MG
28c5b74a-46e5-4878-9205-d75b108dadf3	100	MG
eff2f6d0-94e8-49c0-b4c3-1e8689631b08	270	MG
a6e96b88-3e9f-42a3-94bf-e11e46040f98	50	MG
0ca76d64-df1c-4817-a4d7-57fbedee9ea5	135	MG
c0325596-c71b-47ad-b2dc-c3a57326c261	25	MG
fe776ed7-735d-4585-b9ed-492b6cf32881	67.5	MG
27e3a538-0ebb-40dc-9ffa-503d2605519a	250	MG
abee8499-3b6c-4bde-a4d5-fba3672d1ed6	200	MG
c5c9e5ee-614a-414b-a4b2-838dd691cef9	25	MG
7073ee9f-2595-4ff2-9f55-d49d6ea79d4c	3	MG
b7a39c5a-237c-42a4-a89f-6723b9ef54c6	2.5	MG
3e34bdd4-5f2a-46b7-a985-ee9034d3449d	200	MG
ca71fb96-a2db-4b76-88b4-d2937700d1b0	10	MG
8054f22a-0e25-45fc-937a-4cb6c77d0ce7	10	MG
700a88fc-2f22-4d7b-b252-57d9495d116e	1	MG
73a12038-0186-4c96-8202-7b52dcf48ffb	250	MG
adbdfcf9-3ef8-4f4d-8c18-e5ae70f6a511	10	MG
83a0dddb-b8d1-40f8-8db3-1e2a40e453b2	5	MG
a91b048d-388e-40b9-b719-247c114c5d89	5	MG
11c714e0-922c-41d7-967d-d85dcbfdfc55	150	MG
7306eed1-5f19-4c33-a73f-c7fffffbdd07	40	MG
c2981a89-4a01-4232-8bd1-15ef663903f8	14	MG
b74c133c-5a15-4de4-9d52-28b5841b1459	1	MG
d527120e-6676-4f03-b6ef-ae17ae6fe855	20	MG
d5a5cb16-2e33-449d-b4ac-91b91e3e208f	100	MG
2db7f6eb-81fb-47e5-b2f9-2eccb4166653	80	MG
61224151-8a41-4035-9705-64ddf02fa636	480	MG
885a6461-775e-41c6-bcef-b707bbb7f093	20	MG
97062149-5a7a-4469-b5cd-8d278d56d9dc	120	MG
84462b2a-6b20-4f83-a32a-9d2979edb371	20	MG
4d6f79b3-5836-4776-b7ee-c650acd3ea9e	120	MG
4942b059-9ccf-4a45-989d-e0347f84a394	40	MG
3e675b73-433d-491e-862f-68f2eaaae8dc	240	MG
8ae4ed2c-f069-44e8-a2c0-54c762145bf1	20	MG
b02a24df-6a57-4777-8a50-ee52a21382b8	120	MG
70da4d72-3337-4b49-97ef-37093b622743	50	MG
4d338058-0a17-44b3-b0bd-1c8bcb25e8d4	80	MG
4b528d02-34ce-4989-beb2-f1e8b9ba535a	20	MG
b075c7ec-f306-4aa7-9cb9-1fdd0c9a0f29	120	MG
532e498f-8f45-4a6f-aba0-5f6db22ae0d0	25	MG
41dd652f-c1f9-4ca1-a49b-981c69c333ee	67.5	MG
52fa9c35-b789-4569-a701-0f03ffe5c29e	50	MG
05cc8439-dd95-457b-9d01-7ea8fd956987	135	MG
5c1c69b4-39ca-48d2-baf5-675ca472f9ec	100	MG
96e25db4-74c4-42e5-8aae-2f4ff3700029	270	MG
8719fa36-2919-4d30-bb19-18e04b5f0ee6	100	MG
8506ea75-2d2e-4ed7-be95-1e9af11ea55b	100	MG
25adeee8-5ec4-45d5-a171-7cc12f7c227c	100	MG
8d4dba86-a5c4-484b-96c7-0437b8ff6ce4	100	MG
58c14a76-2a5a-4b24-92e9-6909ce2e62f3	100	MG
5576a09a-c4b3-444e-a933-327c1e89fa99	2	MG
61c1a6d1-4a77-43d1-9e29-d398afe2b845	4	MG
cbed7cbe-4574-4dac-b5b2-9c33506f0c80	2	MG
62b2b7a4-0737-4c1c-8047-8d6536fabce4	2	MG
0a39d358-e059-4df4-9aba-5e2f62690100	2	MG
941ee2ee-b32c-4909-9102-15d54e379629	2	MG
22fb4a89-adc3-4e57-a175-72d216c2716f	10	MG
a478a962-6992-4b26-aa41-168422484dfe	20	MG
fe5472cf-cee9-4d17-a487-e3e35d599459	40	MG
447bacef-6bcc-4b27-880c-586ccfeb8d30	5	MG
849ffbc9-bccf-4c0b-8767-1efada47e8d3	300	MG
5a5aca74-aced-4c50-aba6-8ce404c8a59a	300	MG
52e55f01-7725-421f-b8fe-7a60e07d6ae5	300	MG
12bc108e-0700-41df-93a2-3ea529ad935e	300	MG
bcdaeec0-eefc-4b78-aef7-d85ddeae2e40	400	MG
95ec8c32-c63b-4a78-b202-b4bb42857ff6	8	MG
e5a14a1f-150c-47eb-b759-6f2c8ef41b02	5	MG
ea999d58-0aaf-42c3-9465-6fecd3c6e4cb	100	MCG
bc8ec2c2-d8e5-4c33-972f-2025b5d16698	2.5	MG
5ef3560a-7f47-4fec-9e0c-551eaa15b4d6	5	MG
085d1380-f39d-40ea-98b9-d191fe9b4ca7	10	MG
054c5704-7b0b-4078-902d-ecda99304613	400	MG
56fc876a-6cc3-4923-bb7c-41070027544f	100	MG
2759c1f9-6268-40bb-9ed2-f38a6b8118a9	8	MG
3bbd12f8-a0d0-40fb-8ef7-0305aca639f2	16	MG
f6d05de2-ac11-4475-9bd3-86025c49d3dc	32	MG
41c64e44-ff99-4491-a959-5016f1d49b56	32	MG
17765b7f-a8af-4210-a166-0a639ee1088a	12.5	MG
e45c0c6a-7131-4100-8f92-3d237ee0b5ce	16	MG
5dbc5491-8aa8-438a-8228-dcc1767549fc	12.5	MG
06a0ece4-ed86-4f06-a770-037ca4a878f8	32	MG
33bb3e9b-d33f-4e79-b4b4-9b81ea6dc5d1	25	MG
61700423-5d81-4764-9ad8-e24d834cf325	300	MG
f35df110-5fac-4769-9c9a-8ea2802b29b1	100	MG
6325fe6a-d9c0-4579-9904-fe05cfec5bb0	300	MG
fbb96c4d-7fca-429c-8eca-74b40f059f68	100	MG
8eae5d50-f330-4c5b-8121-9c20bf6ba422	100	MG
807f2b5f-9e0f-4f81-aba4-8a0458770625	50	MG
cbf3cd7b-0f04-4615-8b12-0fe8b37e8c83	10	MG
6af20259-647b-4439-ae89-ee7315cbcb33	20	MG
a28725e2-60e7-4245-8b74-0396e6232cb3	0.6	MG
c10f2648-4c95-4a60-a803-31fd646e4ffe	0.6	MG
32e85b45-b99f-4236-af48-5e52eee63c4f	875	MG
177479f4-aba0-453b-b570-b30629fc2b13	125	MG
aab918ab-6be2-4f58-bb57-5e68e3a6ac63	1	G
ed64559d-83fe-48fb-9eb0-b617fc9ebdca	62.5	MG
63f7afa2-6ce0-41e0-9436-2f7f0ee62b7d	600	MG
47c875e0-f229-4fba-8d44-3d18b01a8eea	42.9	MG
28f8efec-b6c7-436e-af04-c15a2d6b77e8	200	MG
5d4ab12a-c664-4d04-95db-049fab1e4ea6	28.5	MG
2d35d5b6-dcdd-4cd7-b4e0-624904dc22e3	400	MG
4a0bbf85-05ab-483b-8927-47cb0ea1d4a6	57	MG
745e8a32-22eb-4b73-9120-f645c9978ea6	5	G
b77378e1-67a5-44ba-bd36-1d32c64bf8fb	10	MG
a5df1a82-c9b8-4a09-8dd1-46d6d3b5e5c6	50	MG
a73e3133-e47e-4a99-9eaa-bc30b843b7ca	200	MG
45f77f9d-6292-4ae0-b36d-ae4ab42b4f32	120	MG
17353b30-19df-4967-938f-2872f25b24ef	20	MG
22fa0684-4fef-4b02-b4bc-c35791f03b3c	80	MG
6d813260-5885-4fe5-9197-65e053e0969b	200	MG
fd83b1d3-2d01-482f-bcee-2a85cf16669f	1000	MG
42fc74d5-c128-4e02-ad13-ab45188c73dc	27.5	MCG
4ece43e1-1fde-4d9b-885e-6cc950832fcd	150	MG
ccd97353-547d-4360-ab12-e238999d8942	450	MG
5da9bc2d-2818-49b0-8ed3-030b0bac3356	10	MG
04497af6-2297-4e58-bc99-41680499bda9	50	MG
da097197-b151-4b8c-bf43-df0a34c87a95	100	MCG
8eebb5d5-4e97-4898-afa5-4396fdcde3a4	50	MCG
2e59a833-de04-45d5-8db3-0463b596fb33	250	MCG
35467607-368f-409f-a523-0d3ffa60c5b0	50	MCG
de4224a3-efdc-405b-af55-37a6449630dd	500	MCG
340b3bba-cc86-4dd5-a770-a0081a413e1f	50	MCG
0cf302d5-8d18-4251-b26a-0d15fbdd5293	25	MG
f4cfe1a7-7226-4372-b5d1-0d29d9a7ccc9	25	MG
7f2f1350-43b3-4b9f-ab4f-ef30a3ec2430	100	MG
1e820ac4-2e93-41cf-b45c-49262b3d242f	160	UNITS
6b50d93f-fe1b-4acc-b27e-20d9b08b85ec	0.5	ML
da083abe-c002-4eb9-a6c9-67e61dd8d83a	200	MCG
a7cdbaec-34a8-415b-a220-c4a7ac05030b	100	MG
0aa2bcf8-f64c-4e83-942a-d4804147ea4d	25	MG
0666c96f-3c03-4c10-928d-f630e5bdcd18	50	MG
f3170ebb-204d-4daa-a381-16cee2afad10	600	MG
c58727f5-7d63-4a9f-8063-d8a0ea523f7c	150	MG
139efafb-2fad-4dfa-a9f1-9f10e78c5dc2	300	MG
3ad271eb-25df-420e-b5c2-22f1a3c3e62e	150	MG
be4c5ec6-9d3a-4905-a854-8a2e899794c4	200	MG
dc0c2ffc-cc50-4255-8ef1-68fc29b3ecae	300	MG
dd5bae4c-0cfd-43a9-9f85-c930811c18be	5	G
157f23b7-5197-4280-ab2c-b26344c15bf7	0.1	G
aeb754c1-5944-4579-90af-91e0d20b17ed	2.1	G
50f75b01-6bdb-4461-be61-e541f8ef73ea	5	MG
7120ae41-0fdd-4d3f-8a9d-337973ac09d7	2	G
d0f311eb-1630-48bc-967a-f4e10285555b	250	MG
541ddd5e-4ba7-4d45-aa27-331e329b5c33	50	MG
c4b1c03e-fe98-4bfc-8f4b-f37e3852f2c2	50	MG
05ac1796-b1b6-45bf-985a-36ed5a22772f	1	MG
c44766dd-f3dc-483f-92d3-eb995ae38dbb	100	MCG
3042dfd3-970d-4724-9021-f0667ae701de	200	MG
e823c09c-eb95-4641-a430-1b794da3afff	100	MG
0c0be3d4-c30a-4943-89b1-36acf34fe53d	2	MG
960b415e-4b18-4b64-8a4f-1454574a9158	5	G
5db45a5d-2f65-49a4-a946-a1a00b64c7e1	75	MCG
79b43004-dd83-4326-b4c0-d45673115b04	500	MG
ffa0a93d-2d3d-4980-83ae-d0bf918df3f2	500	MG
bd707bc7-58d8-408e-bc76-51819d0ea026	2	G
531a5c2d-cc4d-478f-883c-077992fe452f	100	MG
bbcaa580-1d32-4210-a80d-88611ddb5673	200	MCG
ea336ad2-59ea-45ba-aa69-b9e3e7abfbf5	50	MCG
03c4178d-324d-4575-ace0-1516de0e57da	50	MCG
12b7e278-edcc-4e5b-9b80-4d13862a299a	50	MG
1ba1c6b4-ba0c-4993-a6f4-14e7176b02f4	15	IU
c4570142-b702-4018-9568-a243a08947d1	200	MG
f26fba6d-9c50-4a23-810f-2708a910a7f4	40	MG
de42bc48-bf63-4579-9cc3-6b3289a3b373	25	MG
5f83224b-bfda-4185-b3ba-77db20fbfa44	100	MG
52a4eff4-8c23-4eba-a1c1-99cd9b88f5f8	100	MG
33ad5cbd-0bbd-4d3b-80b0-c2aed8f0b484	15	MG
2eb085b5-863a-44f0-9bd0-a3dfc885f29a	25	MG
02c72898-a399-41bf-bc1b-148eac1443f4	1000	MG
0124e106-9324-448e-95e4-dbd47f07bb65	45	MG
9533bd81-7d0a-45e4-9737-681324411498	200	MG
5b465800-431d-441b-964f-73bc4058012c	200	MG
66c1e566-f0d4-47a7-a9ac-7a3c7d209287	250	G
71d844b7-884f-4240-8368-b36b9644fa87	250	MG
08c8738b-40dd-48b6-9ea5-e1bb4ddcbf69	5	M
13ab8f2d-3de9-4686-81e0-417060212193	5	X
c0ca11e8-c833-42d9-a3f8-7b69a3f12edc	5	X
ed8864eb-227b-4eb8-a4f8-168aa1920cc9	5	MU
fc26d309-f486-4de7-9301-35fd01767f08	450	MG
0f7affce-c21b-48e2-b3de-b76c2109a0a4	35	MG
4377d82b-100e-4e9f-9bc0-38afb79a043f	1	G
5a5f6062-c9f3-445f-b42c-b66ebb8b32cf	0.1	G
8cb997c1-d155-4311-8c62-a644a2aa3037	7.5	G
47cd8265-b9f2-48fc-af57-44e57e6ca83a	100	MG
0b3a149e-e8b9-48d8-9d5a-3d09f5fd8b01	10	G
f8149912-f9cd-4405-a7ce-8ba4bacbec23	15	MG
ce48610f-6b4f-4a2e-b599-9e03404718a2	0.5	G
007c607d-de3e-406e-b6a1-98e939657a75	100	MG
edfeaa46-085d-482b-965b-59529769b7a1	25	MG
f96a06cd-4aba-4285-974b-b46d2ad09425	50	MG
d1281690-9e33-45af-9e53-77f82cdf30ad	50	MG
f8fe12e2-6954-4264-930b-dc528c8fb91d	138	MG
3dbdc0b3-d0a1-4b92-bf9b-25d324552d88	14	MG
44aabc87-3cdc-46ed-a14f-f878ae4eb832	120	MG
a9ee0e02-f588-4754-a72f-5ca1fba4f6a0	30	MG
183943d6-9082-4e71-ab8e-488793e0fad6	1.375	MG
44f7f027-0652-4a06-83d3-f5a4fff44377	30	MG
8acaf2f7-b362-4ea8-96f9-c139ffd29ba5	1.375	MG
083352ce-5272-4d86-9df4-69fdcb7507a1	10	MG
69bc519a-7c85-47f6-bed1-18dd7622ba33	30	MG
4dfb4b83-670c-4c6d-8269-852c30552737	1.25	MG
68285316-e142-4097-9ab4-7d28f2d2664d	0.1	G
d9cfa0e9-6d44-4628-9745-40217c77f138	0.1	G
8dc017e5-9223-4dd9-9da9-47a4c1b3f457	0.5	G
0e84f55b-c64d-4511-b2a8-7b724e0e171a	50	MG
4a13b469-c62e-46aa-9724-49707c972003	50	MG
2a30dc74-4199-4e1e-a119-bbc5f7d88ada	5	MG
6b15a29b-e62b-4be2-a4cd-db36466a6b06	10	MG
9424e34c-2db2-4a12-991d-985952f8bb65	600	MG
6e1e50c2-130d-422c-aff3-d2fad11ac57b	5	MG
384c67d8-c3b7-4580-861e-6b106b80f3ac	250	MG
c07b251d-2535-4066-a2e5-24dc63b7edbd	62.5	MG
