id	exclude_id	category
b133cf25-6382-4eda-8ba1-be30459ba781	51ed3192-d931-4f2c-a4ef-c46b49eb3285	B92
a58e49fa-a8ae-4937-9a6e-523105315329	31ff8d15-bc34-4346-8a27-76bb01848c10	A34
8ca2cef7-50c0-415f-829f-38520f506218	836a6700-dc79-4ded-89c9-9f2ecd29fa11	A33
5c014ff7-8905-4d11-a644-0afe7a7a5393	042adc80-3aa1-4223-92de-c7d930068ad0	O85
e0e678e8-1c77-4a2b-b974-b19413042844	ab6f6e76-d5f0-41fd-b6c4-cdaf4ce553ac	O85
6e041366-6312-40fa-88db-1927b3ccfc12	6872f703-8623-47e2-95a1-e6920f33e02f	A55
97f41ad9-35d2-48db-b1d5-52ebde2a79c9	50429b09-eb10-4c53-84ac-869534345087	A86
88f8159e-7c6c-4b6c-884f-65c273da4fe0	8f9d3250-a9f6-4ce6-8920-8211083ca610	A91
240f0bb6-bda4-47b9-b313-8f5a7eb88fae	0a0d3eed-59c5-4eae-a996-184a2355fee8	A91
d27f20c9-c99f-43d2-816e-d1b1003d74c2	47e96e4e-d59d-40ca-a845-56251d273a20	B04
3441a501-5f74-4cdf-9e9f-3e587f7e801e	bbc4b047-9d16-48d1-bc90-3ed72dc5bbca	Z21
609da14b-4dad-43c7-8023-b2770becd620	3002c2f3-54ec-49ac-a571-9a7a7e7de55c	R75
ccdfac40-288f-4dae-8501-d834a166c62e	5ee39ae2-4d26-4b01-8f27-57d287520f8f	B07
8e4dc050-9b35-4794-98ce-4202fcbd9861	05f7841c-1729-4f86-b2f1-afac2c564938	B07
86c3c8d1-2a5d-464a-a539-b47be9211c83	f24d2c89-ea0e-47fa-8c3a-879ed6c520a8	L22
7fe7e985-4d52-49b0-963f-af56c0a49c0c	2c5ab49f-f6d3-4bee-ac40-08591d7d23ab	B73
02573513-10ab-4e6b-aafc-4841576cda37	16e02550-c359-404f-a673-a9c01678297a	B86
de82bd3b-e117-417e-a8d4-890419577caa	57116c54-a057-4a95-b376-ee32077090ea	G14
222e8665-e295-4fee-b15e-67dd151e2e84	dfde1771-2754-42f6-b7c0-9cec05abd721	B20
3ce54ffa-d857-44de-ab37-00d6962eaeab	72f484ff-16dd-4aee-a228-8d188c08ea1b	C01
4cbcfcd3-6045-42d3-8385-a4e5ab3c6660	2fbedd0a-7bbe-444c-81f4-bb5953f09427	C07
f1e28dcc-f7bd-4059-aaa6-1e2de0968026	39e193a8-5037-4e2c-a1e2-2bbeea0ca0ab	C12
d3f352ee-9940-4ef8-b825-cbe6fb0142c1	c86ba1b0-a375-46f3-8dd5-a79aff0e43fc	C19
87288e45-7787-4320-bd96-373a1a7c4339	fa947ea9-3442-40d7-82d7-0d13f3cb80f3	C37
0a21999a-bbce-4211-b82a-8eb3edcaf279	603d3004-185b-4ba0-9632-238f7bbc736b	C37
adbd0da4-afef-436e-9232-263ee72ddda6	144d8181-4440-4fc0-a111-8270b55062be	C73
9f16ad95-edbd-41e7-a607-a766d2578753	e18412fd-c992-4248-9220-55015e1c6bc5	C88
44d8c7f1-34cf-4f81-aebe-ffb3089ea5b3	7c753849-b984-4688-8389-152238aa49dd	D48
91891970-abd3-4a12-9ccb-df6275a6c944	86c6a84f-e9f7-418c-8b31-74257a83f778	D62
58f7b459-7474-49f0-a630-830b2f4edab5	1e7faaa5-47b0-4bbd-a6f2-2622f35d6c07	E54
51d787bd-02ca-468f-a640-5f927b7ba9dd	3d0a1502-239e-40a4-93f5-8c432c623e47	E60
70538274-d221-46b2-a58e-7039bcd6d8dd	044bb6ab-a1c7-46e7-a610-2ff99d26a76d	P60
415ddb10-f5f7-435d-8b6e-df588ceaaedf	4999a70a-48a0-4db3-8a13-a514957347ad	D66
7bc6bf40-33fa-4eec-8266-4e56112cc614	c7bbb4e8-7941-400b-b621-519d0b90d0bc	D66
fa53df38-0f79-425c-8f0b-71013537dc61	c71bb12b-c079-41f7-ad9f-9cc843b3f7d7	P53
b2985281-0f20-4f8f-abb1-9a6ace80892d	e7c55561-2b2c-4740-88d3-cbe890d9c1d1	D65
2020dbb3-205a-438c-b682-9a5853cf0f00	9807dcf1-0afc-49e0-bd85-92e7864efcbc	P53
b3533143-5504-44fb-82b4-9c0f677a95c5	4073f874-3684-4c3f-bc84-4fb77dea2792	D65
82d4c72e-4f41-43bb-8ec7-42193a0da4d8	371c6df8-e979-4e6f-bd3d-5d58f7e1ae86	D70
56594fc5-1c54-4aef-81d5-a866e78b2bf9	8d2efcf4-31e0-46cf-948f-94e28b97d51a	D45
03231dfe-7b52-41f1-8f6c-d90986328579	05d289a6-b9c0-404a-8ff1-23ad292b31d7	B20
899349e8-0b78-4fdf-841b-b10816b34cd0	a3ddc425-5e0e-48d4-9615-b2eacb53b0c3	B20
a12ae128-56f8-4485-8ad5-b5c9be18f73e	cff44178-d24c-412f-85ff-7b72379eb411	E02
52e62d9d-fdc8-43ce-833f-59d348aae68b	8471ca6b-44db-48a3-9261-24b5dfb8cb5c	E02
58e9b8d1-83f7-4628-8ef8-bbcb608d7f78	590daad9-d0a5-437a-b9d5-f9a0977576b2	Q56
a6ed0bec-c3cb-425f-bcfb-b9870b8c9a07	06b2efd7-56c1-410a-9cc1-e9644a8a8932	E45
f03863ce-8281-4dd5-addc-c18bc730b078	ba4cc4d3-07ce-48c0-9d50-cf1b92b8484b	E42
d140a5eb-c7c9-4ffb-b631-4e5a5e0b1a49	d01dedc8-1f4b-4110-9abe-d628f965520a	E42
8cb4adeb-b392-458c-af98-87490992becb	d11b8019-7b44-4c7c-a4e9-9c06cc592f08	P53
4dfe64aa-472d-4b71-84ae-a7f12059c896	9a7a4d29-6040-49be-ba87-3806e317dc75	E45
0a1eb4b7-5d0e-4cc8-9941-160cba796103	77634559-d083-49db-9f51-50b669d3b095	E68
8ef64278-3e40-44dd-b680-7e56d93a1b16	7c868a4a-281b-4c0b-8ac5-368ecafb7545	R64
80a21d5e-7bf2-44ec-8ae4-cb823588e5c0	51c587e6-098a-44b7-8a18-a4d0ebdcf2b1	E41
85f5d17b-716b-4b74-8201-e7759cadeb0c	6e04d023-00d4-49f1-b36a-90a808b4489f	F05
29958bc5-5619-4861-b718-ad700813a092	b2b0c734-056d-4f8c-9582-3e7c36034c84	F03
3dde051e-572e-4ccd-8884-14b6800bb7cb	20385e2d-de6e-4417-999c-ddf5f9a7fc61	F05
fba80b5c-80d5-4c1b-a502-6e2c0fc6a747	0f9ac28c-6b35-4e5f-9c0a-322c2d4b937d	F23
3f17d276-8e63-46c8-bafb-041e02f9472f	d63de819-0b20-493d-af8a-dd3700b3f654	F22
f5282fa2-61c9-49b0-bc47-6b3c0776d2a5	57f2e2e9-d254-4a44-b072-7409d7c5b05c	F03
e52a83ef-a879-4bef-887e-1682476b7ff8	5b1a8e5a-dd5b-41ec-99c3-ae6f8ef40694	F29
468f3432-fa37-4a17-bc66-d3dc5010c2bd	0e21a7db-d35b-448a-be49-5269801e9272	F23
479f570b-5823-41bc-accd-387b48eedf06	981db518-85d6-4452-8f15-30a3aea2d279	F23
2cf29962-5b5f-4bf0-b374-dbcdb4b28967	b9c547cd-bed8-4725-b479-7d3b065e77ee	F21
c09b9fdf-cadd-409e-83ed-0d7cfb40e268	653a394c-73bf-468a-b69c-85c1812e357c	F22
44c27516-3842-4692-b8d2-42702e28c71f	fe572147-89f5-42a5-b7c4-d265367af0b9	F22
1497631e-9227-4a33-83ee-2e44b2a619a3	163bcd53-8762-4e53-9b10-59d3579a49aa	F23
b766ad0e-cab7-443e-a897-aae5aef1d75d	390a3be8-75ea-47f8-9dad-239c6f229607	F23
3f96fa5d-2c35-4914-ae90-c6442b598603	97d605af-1861-4f72-9008-cefc6c8fdc77	F23
4bb80abb-37f7-4f22-ae83-3f1f1b87eb73	2ab44c29-b623-40ff-851d-0f7169bade5f	F99
2009e899-e97c-40c4-babe-e4bee655ddb3	c24d540c-d77f-4851-a024-2aa8f09b0b3e	F09
