id	created_at	updated_at	name	category	inactive_reason	address_id	location
00000000-0000-0000-0000-000000000001	2024-10-08 17:36:52.443494-04	2024-10-08 17:36:52.443494-04	VHA Test Clinic	Clinic		0148d54b-a81f-41c2-8147-5f9f5054783b	0101000020E6100000158C4AEA04B404C01904560E2DBA4940
00000000-0000-0000-0000-000000000002	2024-10-08 17:36:52.443494-04	2024-10-08 17:36:52.443494-04	VHA Test Virtual Hospital	Virtual Hospital			
793e1844-9e2e-4519-a777-91f887cd9e63	2024-10-08 17:36:52.443494-04	2024-10-08 17:36:52.443494-04	Chikwarakwara			042c2c83-ee3a-4949-b3ea-f37c2b95bb0e	0101000020E610000066D1FF1F5C173F40F0A7C64B375136C0
b802e7f8-2007-455b-beac-77c59663b629	2024-10-08 17:36:52.443494-04	2024-10-08 17:36:52.443494-04	Chamunangana			05f9751d-d729-470b-a043-83a605a550fa	0101000020E6100000CADFFFBF189A3D404F75C8CD709B35C0
5a0d0f57-0a1a-4fa3-861c-fd62888084ea	2024-10-08 17:36:52.443494-04	2024-10-08 17:36:52.443494-04	Chasvingo			2c8474ac-3287-4bdf-9ac0-0b44ea4a7a5d	0101000020E6100000541300C04A803E40CA4FAA7D3A0E36C0
8a9288ea-2a5f-44d2-9c0a-d9821fc89cb3	2024-10-08 17:36:52.443494-04	2024-10-08 17:36:52.443494-04	Makakabule			255d4012-25be-456c-a5c4-48e9f5380a70	0101000020E6100000950500C0D2EF3D40DE76A1B94E2336C0
c3f432d9-677c-423a-b0db-015919ee0a7f	2024-10-08 17:36:52.443494-04	2024-10-08 17:36:52.443494-04	Masera			317c241a-a6a9-4f22-9b2c-a9395bef697c	0101000020E6100000ADCCFFDF24963D406553AEF02EEF35C0
8d6611fd-edd7-4080-ab73-69aab3f71a74	2024-10-08 17:36:52.443494-04	2024-10-08 17:36:52.443494-04	Nottingham			e9e090a1-2c23-425e-ab5c-ac8f4b0d576c	0101000020E610000086EAFF7F10A33D40658D7A88461F36C0
8e0206e4-280f-44d7-a537-90eb12a42e7b	2024-10-08 17:36:52.443494-04	2024-10-08 17:36:52.443494-04	Zezane			c0d72d23-9cc4-4ea3-a8ab-7595cf3df29a	0101000020E610000081010020E0803D402BC1E270E69F35C0
74556611-360f-4c0a-b503-4016aeae9c76	2024-10-08 17:36:52.443494-04	2024-10-08 17:36:52.443494-04	Chituripasi			3b586166-5ca9-4dae-898a-4478740e3d72	0101000020E610000063CBFF9F9BC93E40FA449E245D3336C0
80b47b6c-3e4d-4547-abde-2cea7938ef82	2024-10-08 17:36:52.443494-04	2024-10-08 17:36:52.443494-04	Beitbridge			c46ab7a7-754e-4f19-bea0-09a58d1fee6e	0101000020E61000009E140000D4FC3D406A6AD95A5F3436C0
6a61958e-631a-492d-929c-39e2b4d5c0b1	2024-10-08 17:36:52.443494-04	2024-10-08 17:36:52.443494-04	NRZ			d7d7e055-0d17-4f44-a46b-8106127843ca	0101000020E6100000793500E0FF013E40639CBF09853836C0
53d2f2ee-1b06-4eca-bdd1-ad079b8c527e	2024-10-08 17:36:52.443494-04	2024-10-08 17:36:52.443494-04	Dite			89f1ff7e-4433-4be2-ab4a-4f01e671d9f2	0101000020E6100000CBE2FFFFD8633E402922C32ADE3836C0
6ae228b2-58a6-4b77-adff-6169db76a43c	2024-10-08 17:36:52.443494-04	2024-10-08 17:36:52.443494-04	Majini			2ef343a2-6113-48cf-aea3-d2ca06a483a3	0101000020E610000081E1FFBFCFB03D40F0BF95ECD88035C0
