id	name	province_id
115	Bulawayo	21
116	Harare	22
117	Buhera	23
118	Chimanimani	23
119	Chipinge	23
120	Makoni	23
121	Mutare	23
122	Mutasa	23
123	Nyanga	23
124	Bindura	24
125	Guruve	24
126	Mazowe	24
127	Mount Darwin	24
128	Muzarabani	24
129	Mukumbura	24
130	Rushinga	24
131	Shamva	24
132	Goromonzi	25
133	Mudzi	25
134	Murehwa	25
135	Mutoko	25
136	Seke	25
137	Wedza	25
138	Chegutu	26
139	Hurungwe	26
140	Kariba	26
141	Makonde	26
142	Zvimba	26
143	Kadoma	26
144	Bikita	27
145	Chiredzi	27
146	Chivi	27
147	Gutu	27
148	Masvingo	27
149	Mwenezi	27
150	Binga	28
151	Bubi	28
152	Hwange	28
153	Lupane	28
154	Nkayi	28
155	Tsholotsho	28
156	Umguza	28
157	Beitbridge	29
158	Bulilima	29
159	Gwanda	29
160	Insiza	29
161	Mangwe	29
162	Matobo	29
163	Umzingwane	29
164	Chirumhanzu	30
165	Gokwe North	30
166	Gokwe South	30
167	Gweru	30
168	Kwekwe	30
169	Mberengwa	30
170	Shurugwi	30
171	Zvishavane	30
