assessment_snomed_id	name	category	display_order	required_for_triage	created_at	updated_at
1104441000000107	AVPU Consciousness	consciousness	1	t	2025-11-17 07:06:40.617173-05	2025-11-17 07:06:40.617173-05
301438001	Mobility Assessment	mobility	2	t	2025-11-17 07:06:40.62073-05	2025-11-17 07:06:40.62073-05
417746004	Trauma Presence	trauma	3	t	2025-11-17 07:06:40.623872-05	2025-11-17 07:06:40.623872-05
