id	exclude_id	code_range_start	code_range_end	code_range_start_dash	code_range_end_dash
06e8f7ed-32b4-4501-827e-3b1c6281e7aa	aab88584-6488-434c-a23e-e4f53e2fff04	I69.81	I69.91	f	t
561895d8-1077-4446-a27a-f0f4e393dd04	dd8611e9-290c-4491-8021-2dc513693d16	T40.0	T40.2	f	t
33168a63-d534-4fd4-ab08-849b3c0d4c31	ef7f206f-b4ac-4c4a-a5db-e8c4ffe8bb32	F32	F33	f	f
700ac3bc-5d00-45d5-84ec-5cd641188c44	e3971667-7458-49c4-9cf5-cdc205025ff4	F20	F29	f	f
123e5737-b4a7-49f8-a16e-125ebe4d20f0	6ad4bc7e-75cb-4a30-b599-385476e968f5	F10	F19	f	f
8fefca14-149f-43cd-9d81-1affeb807229	b71391de-35aa-44c5-b887-287ff90a28ca	F10	F19	f	f
5e8428b1-f179-408a-9bc3-06fd8b5ab63a	ef5fa21e-7e65-4d69-a313-9fbca99a36a0	F10	F19	f	f
15f82a52-0488-4ec7-88c5-cca98ac6622a	863d928f-354d-4217-9f43-eb8a7df15732	F01	F09	f	f
b2539ca6-c499-4fcb-8720-318a05005fe5	3eb065f0-2111-454d-94f7-03cd17ad9440	F31	F33	f	f
ca75dd76-217f-4a22-95f8-1e0e5c91f4fc	65b0d1b9-57e7-4659-9424-576353af46f3	F01	F09	f	f
11e7d00a-c2e5-4db7-9403-42bad1ba3dc2	dbbfa5ba-ce5b-42a0-96fc-4a470b03f874	F70	F79	f	f
8d7458df-3741-40db-847d-98c7f77d8260	1eaf1d02-0702-4a70-aa15-25991aac4854	F70	F79	f	f
305dcb66-7a34-4774-85f6-2905823736fc	e6f7e83e-6780-4296-a64b-d11a872cc97b	F70	F79	f	f
df92e0bb-9f3f-4537-9b65-b74ab0fd782c	54a64f3f-adac-4528-825c-1eef5fbe8648	F70	F79	f	f
fe082409-83d6-4e4b-8f12-455a213e5c49	3fd39021-9d9e-4197-842a-75cac1affdcd	F30	F39	f	f
d82280e5-55f8-4622-a4d5-6d7882fc5c52	f3a2d84b-0fa2-4386-be18-8451e921297e	F30	F39	f	f
959210a8-2489-4c54-8a31-981ff5ad0642	23b8023e-bdaf-4b8f-947b-dd7f8ee31e5f	F30	F39	f	f
ad5cd281-92bf-4e84-ab53-41b0a3bd7f87	70937c75-7a0a-462d-91c3-6d6eccf8e334	F40	F48	f	f
6c2ab0af-bf5c-433c-b6d9-45aca490df2a	03ee50a8-048b-4dba-8ff5-972a9add675e	G20	G25	f	f
c2560431-1d60-49b0-8b09-f8bb441ffd98	70ece2d8-1146-45a4-9da4-dd3876ad56a6	F01	F95	f	f
55375015-6722-412b-b815-e9d0c9c4b97c	904b68ac-a499-404a-873d-774b083fd607	O00	O07	f	f
6496ce9e-eb23-427b-a830-1f39d07d7f39	27fdac35-9ca3-4ac4-9402-50aaa4698a58	E70	E88	f	f
992b9890-5c7b-4233-a93f-04e13fdb4f7c	8f096942-12a2-4337-855c-b7731da4a718	I60	I69	f	f
cafc2996-b963-400b-b6bc-c2a3fb71a945	3a2452df-13e2-484a-99d6-9aed6af71b5c	H49.0	H49.2	f	f
5c9778ec-b621-4580-9c37-0a56090e1d41	b8a4ebb6-abcb-4590-a0fc-59a762aaf060	M50	M51	f	f
c604298e-eb6f-4b67-b0b3-5bf941f9ec00	f9c5087c-e1f4-488f-b422-64cd5a050ade	A48.51	A48.52	f	f
e5cb9d81-8377-4a3d-aca0-fe7da5e86a93	fde01ba9-d45f-4656-bf3c-0a35b9a3c070	E70	E88	f	f
fc62d0f3-aa26-4e45-b816-400f145d92ec	e399b262-b4a2-4998-91b1-cc3d30e48ac2	G70.80	G70.81	f	f
41fd9134-86af-498f-9830-00f3760a925a	04496607-fb7e-4656-9bdb-257a428d796e	R07.1	R07.9	f	f
6c333f45-4291-4332-8b27-d8f0b69cd15b	d503d2fe-7617-42c4-a9b8-82d1f2a6dcbc	Q10.0	Q10.3	f	f
07f9f647-5143-482e-8215-97673ddb35e2	b2158cca-e01e-4112-9ffc-4c03478e5133	Q10.4	Q10.6	f	f
34f4e87b-ec9e-422c-a40b-8f5b71b44665	f4462f42-3f14-4457-8f69-9f8def7c00c7	Q13.3	Q13.4	f	f
3cbb0871-6def-4e70-9878-20d269e9621d	b017719f-42c4-48ee-b9e5-a8c876788698	E08.311	E08.359	f	f
dd714c52-7738-44eb-b335-007dfa16f3aa	b017719f-42c4-48ee-b9e5-a8c876788698	E09.311	E09.359	f	f
4edcebc6-ed85-4c62-a0af-62e321618815	b017719f-42c4-48ee-b9e5-a8c876788698	E10.311	E10.359	f	f
1bb3832b-f053-43c7-82e5-5b89a0dc8c7e	b017719f-42c4-48ee-b9e5-a8c876788698	E11.311	E11.359	f	f
db65956f-d948-4a7a-99df-3c86fc5e8756	b017719f-42c4-48ee-b9e5-a8c876788698	E13.311	E13.359	f	f
23991680-30a8-4f5a-b557-7b7d9a6b6ac2	57a5459a-23e2-441d-96c3-dd07bf9404f1	H54.0	H54.7	f	f
59470824-1fa2-4e61-8d24-9c176bb72047	3ad5c0a9-d72b-41a8-b6f8-b0d3cd84fe6e	I01.0	I01.9	f	f
4f33b726-a0c4-4e20-8c58-82e05ae110e7	9374e5db-7aad-4b4b-bdea-9ce0fda4e496	I05	I09	f	f
10131040-126e-4d50-a0c6-35a414c55a73	3cf7eea6-97a1-418e-bc73-4ac810c71686	O10	O11	f	f
4f935dd4-83ac-409c-afca-a8c5b53d9c83	56063d3c-0d0c-40f3-a658-075bbf97ccb7	I60	I69	f	f
17caf8f3-7807-459a-87a5-fc7636246a01	3cf7eea6-97a1-418e-bc73-4ac810c71686	O13	O16	f	f
3d43d0b2-2d02-425d-ade1-1dddfb0eb0bd	b4a72b8c-4ace-4946-95bf-f7d9fc19afe8	I60	I69	f	f
66a98946-8bb8-4f73-9d79-b05e28407388	b755b517-cb59-46cb-8575-ac75bd2bb9c0	I25.70	I25.73	f	t
2ea83790-0f89-4636-ab2f-ed5b40766434	bd03b315-592d-4450-bb54-fa157882379c	O00	O07	f	f
0e493f01-ae53-4330-90ae-369f345d170a	f59a087b-e29a-4224-8864-a8cea307e308	I00	I09	f	f
e8807983-0a0f-4780-a1a0-d8cb5c483905	f755afb8-1b6b-4c70-aca3-3e80c4161ec8	I63.0	I63.2	f	f
f9d00f5e-4fd9-4915-9025-340b39cd06eb	d9a1fa32-8612-4744-a4a6-4c6f4ac7d4d7	I63.3	I63.5	f	f
ff985632-a5ef-4f27-aea2-ea906f4952bb	b6ca328b-bd09-4fc9-9b0e-7486b3478ad1	I63.3	I63.5	f	t
ed40ab9a-f73c-4fce-9c79-a944e83ffa60	2b62d87f-c408-45c2-8fa7-f45045d990ac	I70.30	I70.79	f	f
32ee6581-faa2-4026-a1f5-986d72787dc5	df2124e2-50cb-4bdd-93eb-f5117b8184f9	T33	T34	f	f
d807cd85-4f90-45a7-a938-7212f7492d4a	a975a73e-49f4-4fe5-b2d5-d119e0d55894	I70.2	I70.7	t	t
4b25089d-645e-4c9e-989f-567079316a88	2a4b9b16-4e5b-4461-a01d-e4820e81cb21	I63.0	I63.2	f	f
4d3747e0-f51e-48f7-b084-b4cf1b755eef	daa6d53f-e6c0-4514-9212-fb8f1e341407	I63.0	I63.2	f	f
6438724c-df08-40a6-98ea-0624b13709ac	686b78aa-86bb-4998-9e9f-87e8e4a778cd	I63.3	I63.5	f	f
24772ea1-b5f9-44de-b3bc-4cec2085f0a5	75ef5db2-781c-4990-8454-ac126cba63b1	I21	I25	f	f
