id	created_at	updated_at	formatted	street_number	route	unit	street	locality	postal_code	administrative_area_level_1	administrative_area_level_2	country
5ac80bd1-92d5-494c-97e1-19f0ff882c83	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Bikita, Masvingo Province, Zimbabwe							Masvingo Province	Bikita	Zimbabwe
61ddc966-d996-4aef-b0fe-f5897b416f22	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Gutu, Masvingo Province, Zimbabwe							Masvingo Province	Gutu	Zimbabwe
91fd6557-77cc-4cf4-a2f3-1c27082af238	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Bikita, Masvingo Province, Zimbabwe							Masvingo Province	Bikita	Zimbabwe
6ab318a8-f704-4f19-a423-f8a911d61634	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Buhera, Masvingo Province, Zimbabwe							Masvingo Province	Buhera	Zimbabwe
d87d8eeb-63e2-4206-82ae-13bc66060842	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Bikita, Masvingo Province, Zimbabwe							Masvingo Province	Bikita	Zimbabwe
0bdfc200-5e6b-4368-8195-f0fb576e5a7f	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Gutu, Masvingo Province, Zimbabwe							Masvingo Province	Gutu	Zimbabwe
dfae4636-fa92-4741-8d1c-7d068d5e3773	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Bikita, Masvingo Province, Zimbabwe							Masvingo Province	Bikita	Zimbabwe
b9e86dbb-6a47-48f6-8a88-65a391d69dd2	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Bikita, Masvingo Province, Zimbabwe							Masvingo Province	Bikita	Zimbabwe
1d76bb9d-3341-49cd-b030-18121ceef57d	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Gutu, Masvingo Province, Zimbabwe							Masvingo Province	Gutu	Zimbabwe
6a126e9c-22bc-4349-a2e1-3c1d7e3901d6	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Bikita, Masvingo Province, Zimbabwe							Masvingo Province	Bikita	Zimbabwe
49999615-47b7-4c37-9d08-49fcbd38e106	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Bikita, Masvingo Province, Zimbabwe							Masvingo Province	Bikita	Zimbabwe
8775ca71-5fdf-48af-b4f3-91d1f5d81efb	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Bikita, Masvingo Province, Zimbabwe							Masvingo Province	Bikita	Zimbabwe
26deb1b5-77a3-4eb5-9e48-bb3aacb21ba7	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Bikita, Masvingo Province, Zimbabwe							Masvingo Province	Bikita	Zimbabwe
7a9bad28-5d61-4a10-ba70-64598bf80db6	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Bikita, Masvingo Province, Zimbabwe							Masvingo Province	Bikita	Zimbabwe
ac4a292f-ac3c-4c7f-bea9-e0bcc18d81d3	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Bikita, Masvingo Province, Zimbabwe							Masvingo Province	Bikita	Zimbabwe
46dfd831-9ec1-4b1d-a7d1-01fc6ebaa444	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Bikita, Masvingo Province, Zimbabwe							Masvingo Province	Bikita	Zimbabwe
081ddb59-99d4-4a02-b92a-fab37b7135ad	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Glencova, Masvingo, Masvingo Province, Zimbabwe					Glencova		Masvingo Province	Masvingo	Zimbabwe
d3a5f53c-7e3c-4b73-9a3e-7699872fbd1d	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Gutu, Masvingo Province, Zimbabwe							Masvingo Province	Gutu	Zimbabwe
43cdbfff-0381-4476-9ed9-daa99943ed8b	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Gutu, Masvingo Province, Zimbabwe							Masvingo Province	Gutu	Zimbabwe
040c48ce-41d2-44f7-b1cb-0fe9cc4d4520	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Bikita, Masvingo Province, Zimbabwe							Masvingo Province	Bikita	Zimbabwe
e330c402-28c9-4af9-aa42-2ae77a554955	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Bindura, Mashonaland Central Province, Zimbabwe					Bindura		Mashonaland Central Province	Bindura	Zimbabwe
32ad5011-815a-44ee-be04-84d2747f6258	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Chiredzi, Masvingo Province, Zimbabwe							Masvingo Province	Chiredzi	Zimbabwe
2e8d972b-277f-48f9-b0d1-f1ba686a6f3d	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Bindura, Mashonaland Central Province, Zimbabwe					Bindura		Mashonaland Central Province	Bindura	Zimbabwe
c10b82e0-64c1-412a-b297-4d0a499ba356	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Bindura - Shamva Road, Bindura, Mashonaland Central Province, Zimbabwe		Bindura - Shamva Road		Bindura - Shamva Road	Bindura		Mashonaland Central Province	Bindura	Zimbabwe
4d6bd54b-a6b0-4661-9088-02e8d92db588	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Mashonaland Central Province, Zimbabwe							Mashonaland Central Province		Zimbabwe
2f4451e9-1617-467c-a25d-2242c9478131	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Chigiji Road, Goromonzi, Mashonaland Central Province, Zimbabwe		Chigiji Road		Chigiji Road			Mashonaland Central Province	Goromonzi	Zimbabwe
76e2146a-64e8-4aef-ad97-03d710f61db1	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Masvingo Province, Zimbabwe							Masvingo Province		Zimbabwe
108558f0-b90f-4101-b354-7a25b949219c	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Bindura, Mashonaland Central Province, Zimbabwe					Bindura		Mashonaland Central Province	Bindura	Zimbabwe
8eb07cfe-7b09-42aa-ae52-c65f82e4b283	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Bindura, Mashonaland Central Province, Zimbabwe					Bindura		Mashonaland Central Province	Bindura	Zimbabwe
d49e37ec-2a42-48c4-9c2b-82875b5d0f56	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Bindura, Mashonaland Central Province, Zimbabwe							Mashonaland Central Province	Bindura	Zimbabwe
9b049278-c9f0-48cf-b30a-66a30d25ad12	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Bindura, Mashonaland Central Province, Zimbabwe					Bindura		Mashonaland Central Province	Bindura	Zimbabwe
c6aca030-6a2c-4799-9e96-655c63a3e3ae	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Bindura, Mashonaland Central Province, Zimbabwe					Bindura		Mashonaland Central Province	Bindura	Zimbabwe
c55bf188-3eb5-48f9-ad00-fee16ea7c950	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Mashonaland Central Province, Zimbabwe							Mashonaland Central Province		Zimbabwe
14ee22d7-c7a4-47cf-b80c-b1027bad3997	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Goromonzi, Mashonaland East Province, Zimbabwe							Mashonaland East Province	Goromonzi	Zimbabwe
f23626a6-4b5c-4667-aac1-e8123a9f4fa4	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Mashonaland Central Province, Zimbabwe							Mashonaland Central Province		Zimbabwe
73fb7d02-ba46-4784-b836-fa05fca41390	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Bindura, Mashonaland Central Province, Zimbabwe							Mashonaland Central Province	Bindura	Zimbabwe
72c57418-1d8c-4077-85e0-77ab3eab040e	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Bindura, Mashonaland Central Province, Zimbabwe					Bindura		Mashonaland Central Province	Bindura	Zimbabwe
53e4a03b-c5f5-45fd-88e1-b5f136b3fafd	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Goromonzi, Mashonaland East Province, Zimbabwe							Mashonaland East Province	Goromonzi	Zimbabwe
9f77c6f6-59b9-4b70-9b4c-02cf2cfe5404	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Bindura, Mashonaland Central Province, Zimbabwe							Mashonaland Central Province	Bindura	Zimbabwe
481ef8fa-dfa0-4a4a-9e20-a4c6c9b1857b	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Madziwa Road, Mashonaland Central Province, Zimbabwe		Madziwa Road		Madziwa Road			Mashonaland Central Province		Zimbabwe
6cad302b-3af0-4eb6-92ea-272b3de92fd7	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Bindura, Mashonaland Central Province, Zimbabwe					Bindura		Mashonaland Central Province	Bindura	Zimbabwe
53151ed2-7fbf-4aff-a5f1-354ded8ac647	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Bindura, Mashonaland Central Province, Zimbabwe					Bindura		Mashonaland Central Province	Bindura	Zimbabwe
448093fa-0509-4ebc-9a47-dc6722813b94	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Bindura, Mashonaland Central Province, Zimbabwe					Bindura		Mashonaland Central Province	Bindura	Zimbabwe
073c9fd7-bc1f-4d86-8088-18f63b73467c	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Bindura, Mashonaland Central Province, Zimbabwe					Bindura		Mashonaland Central Province	Bindura	Zimbabwe
611b211b-ae73-4c4b-9802-70b335a8ff50	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Bindura, Mashonaland Central Province, Zimbabwe					Bindura		Mashonaland Central Province	Bindura	Zimbabwe
420bd0d7-db75-46a6-92c7-038d64bf3cd7	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Bindura, Mashonaland Central Province, Zimbabwe							Mashonaland Central Province	Bindura	Zimbabwe
2ee692aa-572d-408a-8c64-ec7245b5242f	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Bindura, Mashonaland Central Province, Zimbabwe							Mashonaland Central Province	Bindura	Zimbabwe
8eb0a2ab-1441-4aaf-af0d-c4c5bcdd27fb	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Bindura, Mashonaland Central Province, Zimbabwe					Bindura		Mashonaland Central Province	Bindura	Zimbabwe
369b1f0c-cb23-4e28-ac66-291dacbbbfbb	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Bindura, Mashonaland Central Province, Zimbabwe							Mashonaland Central Province	Bindura	Zimbabwe
0ec0d3bb-cd0e-41f2-8903-9aadf72d09b3	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Bindura, Mashonaland Central Province, Zimbabwe					Bindura		Mashonaland Central Province	Bindura	Zimbabwe
6d1c7057-71b3-4d80-b947-9f674abc3eae	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Mashonaland Central Province, Zimbabwe							Mashonaland Central Province		Zimbabwe
ad25d4e2-60f1-4fac-ac3d-d597760e3dd1	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Binga, Matabeleland North Province, Zimbabwe					Binga		Matabeleland North Province	Binga	Zimbabwe
b558f101-0ed5-4cc4-92a3-12b25249232a	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Binga, Matabeleland North Province, Zimbabwe							Matabeleland North Province	Binga	Zimbabwe
6258fadd-dac0-4d94-b1e1-1389c09fa5f8	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Binga, Matabeleland North Province, Zimbabwe							Matabeleland North Province	Binga	Zimbabwe
995f3d8d-6b01-4143-8155-972ad559ecd5	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Binga, Matabeleland North Province, Zimbabwe							Matabeleland North Province	Binga	Zimbabwe
9ec1dfe3-3112-4c68-a7ad-bf1885049b67	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Binga, Matabeleland North Province, Zimbabwe							Matabeleland North Province	Binga	Zimbabwe
546116ae-e702-407f-8f9d-7e07f3f761c4	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Binga, Matabeleland North Province, Zimbabwe							Matabeleland North Province	Binga	Zimbabwe
096e98ae-b150-4baa-a647-0b5d8cbbe69c	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Binga, Matabeleland North Province, Zimbabwe							Matabeleland North Province	Binga	Zimbabwe
2e5b7946-9e2b-4224-9a37-02ab765022f2	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Binga, Matabeleland North Province, Zimbabwe							Matabeleland North Province	Binga	Zimbabwe
4b79fb1f-53fb-4875-9b1a-61a8138d34fb	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Siabuwa, Binga, Matabeleland North Province, Zimbabwe					Siabuwa		Matabeleland North Province	Binga	Zimbabwe
