id	age_determination	pregnancy	warning_sign	priority
713419002	adult	t	Cardiac arrest	Emergency
716050002	adult	t	Cardiac arrest	Emergency
723866006	adult	t	Cardiac arrest	Emergency
1149361009	adult	t	Cardiac arrest	Emergency
1149362002	adult	t	Cardiac arrest	Emergency
1264229001	adult	t	Cardiac arrest	Emergency
1373599002	adult	t	Cardiac arrest	Emergency
8519009	adult	f	Obstructed airway	Emergency
1373600004	adult	t	Cardiac arrest	Emergency
10745231000119102	adult	t	Cardiac arrest	Emergency
10750641000119101	adult	t	Cardiac arrest	Emergency
10760181000119109	adult	t	Cardiac arrest	Emergency
10811961000119109	adult	t	Cardiac arrest	Emergency
15964501000119104	adult	t	Cardiac arrest	Emergency
36925002	adult	f	Obstructed airway	Emergency
39643002	adult	f	Obstructed airway	Emergency
58525007	adult	f	Obstructed airway	Emergency
61169001	adult	f	Obstructed airway	Emergency
68372009	adult	f	Obstructed airway	Emergency
69061003	adult	f	Obstructed airway	Emergency
73342002	adult	f	Obstructed airway	Emergency
78275009	adult	f	Obstructed airway	Emergency
79688008	adult	f	Obstructed airway	Emergency
85597002	adult	f	Obstructed airway	Emergency
185086009	adult	f	Obstructed airway	Emergency
217808004	adult	f	Obstructed airway	Emergency
217810002	adult	f	Obstructed airway	Emergency
230493001	adult	f	Obstructed airway	Emergency
232209000	adult	f	Obstructed airway	Emergency
233630006	adult	f	Obstructed airway	Emergency
248554005	adult	f	Obstructed airway	Emergency
248555006	adult	f	Obstructed airway	Emergency
249346001	adult	f	Obstructed airway	Emergency
275495004	adult	f	Obstructed airway	Emergency
276545006	adult	f	Obstructed airway	Emergency
425082000	adult	f	Burn	Emergency
301253007	adult	f	Obstructed airway	Emergency
301254001	adult	f	Obstructed airway	Emergency
301255000	adult	f	Obstructed airway	Emergency
371035002	adult	f	Obstructed airway	Emergency
371126007	adult	f	Obstructed airway	Emergency
408669002	adult	f	Obstructed airway	Emergency
425227004	adult	f	Obstructed airway	Emergency
427251005	adult	f	Obstructed airway	Emergency
427286007	adult	f	Obstructed airway	Emergency
427480003	adult	f	Obstructed airway	Emergency
427890000	adult	f	Obstructed airway	Emergency
428080007	adult	f	Obstructed airway	Emergency
428487003	adult	f	Obstructed airway	Emergency
428849001	adult	f	Obstructed airway	Emergency
429491000	adult	f	Obstructed airway	Emergency
762287001	adult	f	Obstructed airway	Emergency
765751002	adult	f	Obstructed airway	Emergency
774068004	adult	f	Obstructed airway	Emergency
788997004	adult	f	Obstructed airway	Emergency
865890009	adult	f	Obstructed airway	Emergency
865891008	adult	f	Obstructed airway	Emergency
865892001	adult	f	Obstructed airway	Emergency
865908007	adult	f	Obstructed airway	Emergency
890354000	adult	f	Obstructed airway	Emergency
890355004	adult	f	Obstructed airway	Emergency
890386005	adult	f	Obstructed airway	Emergency
890387001	adult	f	Obstructed airway	Emergency
1231580006	adult	f	Obstructed airway	Emergency
1231582003	adult	f	Obstructed airway	Emergency
1231583008	adult	f	Obstructed airway	Emergency
1231584002	adult	f	Obstructed airway	Emergency
1231585001	adult	f	Obstructed airway	Emergency
1231586000	adult	f	Obstructed airway	Emergency
1231587009	adult	f	Obstructed airway	Emergency
1231588004	adult	f	Obstructed airway	Emergency
1231589007	adult	f	Obstructed airway	Emergency
1231590003	adult	f	Obstructed airway	Emergency
1231591004	adult	f	Obstructed airway	Emergency
1231592006	adult	f	Obstructed airway	Emergency
1231593001	adult	f	Obstructed airway	Emergency
1381428001	adult	f	Obstructed airway	Emergency
401000119107	adult	f	Obstructed airway	Emergency
1091000119108	adult	f	Obstructed airway	Emergency
1101000119103	adult	f	Obstructed airway	Emergency
36491000119101	adult	f	Obstructed airway	Emergency
293241000119100	adult	f	Obstructed airway	Emergency
16275741000119100	adult	f	Obstructed airway	Emergency
217781531000119107	adult	f	Obstructed airway	Emergency
403190771000119102	adult	f	Obstructed airway	Emergency
241006	adult	f	Seizure	Emergency
241006	adult	t	Seizure	Emergency
6204001	adult	t	Seizure	Emergency
7033004	adult	t	Seizure	Emergency
6204001	adult	f	Seizure	Emergency
7454002	adult	t	Seizure	Emergency
