id	created_at	updated_at	strength_numerator	manufactured_medication_id	consumable_id
ef406d85-b187-4575-8d72-f4586ef375b5	2024-05-01 17:00:03.737748-04	2024-05-01 17:00:03.737748-04	25	00771e5b-7517-4689-96f2-20e7213e5511	0ff66c4e-86d4-4359-bf94-804485124023
9016d6fe-d830-4596-9695-1cb542ee26f3	2024-05-01 17:00:03.73843-04	2024-05-01 17:00:03.73843-04	0.15	4ed8bdcf-7fd8-410b-b74b-051594cce783	4879311c-049a-45ae-b60f-33fe4f60f86c
98da28c4-e1e5-400f-97fc-40b7071b5e0b	2024-05-01 17:00:03.738532-04	2024-05-01 17:00:03.738532-04	50	e0664689-3e88-4f71-808b-2ccbf3aff1da	bd372f2f-eaa1-4ed0-8c1d-20d93f6b0f6d
02080b60-0891-4a4d-84bf-ea2fc455c6cf	2024-05-01 17:00:03.73923-04	2024-05-01 17:00:03.73923-04	200	398d8db9-9b89-43aa-8ba4-575712708946	94a2f816-119a-4b18-bd06-5a22e495989f
0144b83f-4a70-4138-b0d8-b8c52f733e5a	2024-05-01 17:00:03.739406-04	2024-05-01 17:00:03.739406-04	50	95b38357-0927-41aa-a8fb-8561a165b38e	84a68ab0-04d0-46af-9ebd-024402372f7f
f694a4f5-0d31-40a8-8f0b-a2ba1e3e4c09	2024-05-01 17:00:03.740054-04	2024-05-01 17:00:03.740054-04	400	34179869-170b-4d8e-a976-1b7367d6dccd	338b500f-3632-434c-a844-a5bc075b8892
d5f4f0e4-7e35-4163-96f3-2ac08fe0d3c7	2024-05-01 17:00:03.740254-04	2024-05-01 17:00:03.740254-04	0.12	91952756-46fc-4d5b-a6ad-9e93dcc0e042	c618dca7-2a64-4dff-8330-3a569de10deb
8393d694-e195-4ea2-aeb0-dbb6e9698741	2024-05-01 17:00:03.740434-04	2024-05-01 17:00:03.740434-04	500	9b67a57c-1ca5-4a67-ba2c-a61ac9630caf	81c86ecd-f1b8-4591-b13e-89918b5568df
eb6a90fd-1235-4da7-bc8f-6d89c4a0e981	2024-05-01 17:00:03.740852-04	2024-05-01 17:00:03.740852-04	50	1b997dfe-846e-4ee6-bf5d-d393ee075ced	6f583c12-e4d4-4084-8e42-3aad46820316
d1e90b1f-bfe2-42f5-b491-e6ef1c59c9ce	2024-05-01 17:00:03.740957-04	2024-05-01 17:00:03.740957-04	0.7	80126c77-c9b9-4db9-bf83-a9b5668697e8	ec8f28f4-7fc9-49e3-85a8-54381d2c9921
e6e0cbb2-a239-4430-88a9-19f4cc0b0a3a	2024-05-01 17:00:03.741339-04	2024-05-01 17:00:03.741339-04	100	95b38357-0927-41aa-a8fb-8561a165b38e	9c1155cd-7f29-43e9-82b6-25ff74c54229
e5ab797f-1fa8-40bc-ac4b-efe4a98d0f1f	2024-05-01 17:00:03.741752-04	2024-05-01 17:00:03.741752-04	15	ce42b116-9367-4897-b964-7ae746b26d46	8569ac15-0b2e-4552-913e-d92460fc2b4d
947968a8-1039-4c13-b74a-b33378ddc728	2024-05-01 17:00:03.742155-04	2024-05-01 17:00:03.742155-04	100	5dabf0f0-d62a-4d33-8fb9-2a15229ee559	ae621d03-885b-4e18-9a2b-bbdb25d026e3
9bd85a11-8ac6-4151-8c1a-a715ccef6aa6	2024-05-01 17:00:03.742253-04	2024-05-01 17:00:03.742253-04	0.9	91952756-46fc-4d5b-a6ad-9e93dcc0e042	ba2082b1-7fc6-4e0c-95cc-78e7c1fb0a14
a444c8e5-dc29-46bc-9d97-0f69190c279f	2024-05-01 17:00:03.743734-04	2024-05-01 17:00:03.743734-04	500	31db4088-d922-470f-8fc9-b960ab9e0251	455a407d-0f96-479b-b7fa-e905a141607d
3ed7f4bd-4c70-4423-a18d-3bc0e433bfb4	2024-05-01 17:00:03.743854-04	2024-05-01 17:00:03.743854-04	0.025	0fb6ef78-bd18-4f0c-bb41-201bec4d18bc	9fefc20a-c56a-4191-85ce-d6cbb54e1a71
70fcae02-99af-4c1f-80b2-2709b9245233	2024-05-01 17:00:03.743944-04	2024-05-01 17:00:03.743944-04	250	865ba5f4-3492-4dc9-bce6-c1d2c09d7c4e	1a958cdc-5f38-4e0b-9f58-9c5e9300561d
97372ef0-8b1a-41e6-bd72-9d83ca2e7436	2024-05-01 17:00:03.744506-04	2024-05-01 17:00:03.744506-04	1.25	91952756-46fc-4d5b-a6ad-9e93dcc0e042	576c7cf2-8028-4ae5-96a0-2e2285fcfc95
03dbe763-93ee-4d7d-b5a3-4d2dc989fa9c	2024-05-01 17:00:03.744944-04	2024-05-01 17:00:03.744944-04	15	723ebe32-eb9a-4295-8277-d9b1d1202239	9b4a2ec9-2a25-4db9-bf8e-d11639cdafd7
38d3293c-9c1b-47a9-a4c1-fe2099639095	2024-05-01 17:00:03.745204-04	2024-05-01 17:00:03.745204-04	30	09234939-41f7-446e-b3c9-e91c73419f9e	ba7ceae1-93ae-4244-bb6f-18e6f889c831
79c2bca8-0718-488e-b56e-0c05f0c11563	2024-05-01 17:00:03.745671-04	2024-05-01 17:00:03.745671-04	2.5	0fb6ef78-bd18-4f0c-bb41-201bec4d18bc	bb6ec3e4-d8c5-4fe2-bec5-3b3c908bf318
ad47a09a-f232-4ab3-8ec9-27cff4203645	2024-05-01 17:00:03.746038-04	2024-05-01 17:00:03.746038-04	400	f8595eb3-19b2-419f-ad16-90f48313eb47	4941c51e-f7c0-4a39-9bcb-f80ecc235914
60ff5ad9-f0ad-4db8-a1b4-e2b3bbaef6e5	2024-05-01 17:00:03.746125-04	2024-05-01 17:00:03.746125-04	12.5	a4441110-6ae6-42dd-80bd-dc828f6afda1	3d040ac6-f2f3-43ed-89be-8b65e01a3e4a
95e62521-79ed-4761-9f45-5ee970afe681	2024-05-01 17:00:03.746308-04	2024-05-01 17:00:03.746308-04	75	6cdacc99-812a-492d-bf90-a16f6b8e4f96	1bfef903-a758-462b-b8c7-94287b5016fd
2a475ea1-120d-4b40-aa9a-4bc839d6ed10	2024-05-01 17:00:03.746398-04	2024-05-01 17:00:03.746398-04	12.5	91952756-46fc-4d5b-a6ad-9e93dcc0e042	7c532148-6775-4a87-987b-9b1a11a2176b
fc97d399-6148-463a-92b7-9583e70f2a89	2024-05-01 17:00:03.746492-04	2024-05-01 17:00:03.746492-04	500	edaa1755-ae14-40d8-85c4-76cff7f6ea05	2ee3826f-0908-432e-807f-19ba30a006b9
e160ec19-da26-4fb5-ab47-fc7f3c9a02c4	2024-05-01 17:00:03.748109-04	2024-05-01 17:00:03.748109-04	20	a4441110-6ae6-42dd-80bd-dc828f6afda1	a0052a43-194e-42d0-8a5c-c1b07d36126d
f7150d7c-6049-4554-b605-d8dfea7893e9	2024-05-01 17:00:03.74821-04	2024-05-01 17:00:03.74821-04	60	4d1af88b-c37c-49ca-912c-a9dc36ec658b	0010889a-cde7-4ab2-905d-1a3e01c13629
1e483e61-df30-4eb3-8940-182b6dbfcaa7	2024-05-01 17:00:03.748729-04	2024-05-01 17:00:03.748729-04	5	782eec04-1384-460a-906b-d6a79bcf7a66	654d4f28-dccf-4039-a23b-8cdb624f0883
54146cc9-a853-4c67-a51d-1fab664d7ddc	2024-05-01 17:00:03.748938-04	2024-05-01 17:00:03.748938-04	0.1	80f69080-2c9d-472a-93e6-9800b6e7458c	c9b9048b-c487-4a1f-bca9-b45003569d06
7f3af3a0-0263-4d46-8da8-4c2ff5d3ae0c	2024-05-01 17:00:03.749037-04	2024-05-01 17:00:03.749037-04	10	a67297f0-4f0d-4f09-a235-72ea503f307d	f111df83-0a24-45ce-b68b-9e7b6dad010e
20a7e930-bbf4-4de8-b154-23fb10345354	2024-05-01 17:00:03.750105-04	2024-05-01 17:00:03.750105-04	400	4ab855b3-8edc-412c-ba8c-7b68a2e2e70a	b9a9f24a-1909-4750-95ee-096d4042da42
