id	units_snomed_concept_id	value	value_low	value_high
1816efd6-beac-4419-b686-8161990aacba	258684004	30		
62edac48-8096-4038-a23d-83d903cd3f1d	258684004	30		
91af557e-b4fb-4c71-9cf9-9d97be606c59	258684004		25	30
389be96b-cb4a-46ad-8a2e-15248b38d32c	258684004		25	30
1a57845a-7bea-4469-a1e4-6de2600f28b5	258684004	1		
fbb6fb52-582c-46db-8fa1-92fa65b8fe10	258684004	150		
18ce4539-b308-44c7-ad61-c1ff876104a3	258684004	150		
5feece6a-d6ac-44fa-9ce1-ae2233ee6666	258684004	150		
4c65a763-e780-4623-88af-f1484177eeeb	258684004	150		
41a4da7a-05ee-43c3-8ac6-64ee59ade959	258684004	1		
80565930-584a-43e6-bbc4-073cf9730091	258684004	40		
d399c04e-3f55-4522-bd52-6b05655322f8	258684004	40		
6a9213ef-5fb8-4159-a519-132b199ae9dc	258684004	40		
317d010a-c8dc-4d28-8e7b-c36cee8b00d3	258684004	40		
c8160345-1700-48f3-a7fc-55a3e2e06a9c	258684004	1.5		
41debe58-08b9-4435-990a-de13f8f6d913	258684004	40		
9b4cc72e-8c8e-4fd5-8a0a-d040733fcc11	258684004	1.5		
80f32ba4-4f7c-4aa4-a511-7a70e09205ea	258684004	1		
c544f79b-c8ee-44d0-a814-128a15134edc	258684004	200		
9898b0a5-ba69-4325-a19a-5de5b17672b1	258684004	200		
30962a51-36e7-4726-beb0-5f3bc610e44e	258684004	170		
7af4943f-7eb8-4a9b-97e5-c0050a1322c8	258684004	170		
6d4adace-7788-426c-b78c-3e12bc30ffe5	258684004	5		
e1573d7d-6a8e-44f4-9953-e662e94e063d	258684004	5		
46988ed3-7f5a-4c08-88ab-c16012b21319	258684004	5		
2db0d825-fbbf-4658-81cc-b3aefdd8ff49	258773002	15		
61f37221-13a3-4adc-babf-af14ad6dccba	258773002	15		
51c756fe-d80c-43e2-b1f5-522206437c86	258773002	15		
a6c1a26e-fdbb-4d9a-a0c3-5ae97cecc3b7	258773002	15		
04245264-f112-41f4-a40f-ce429f6e8f3b	258773002	0.5		
2d0edd83-8b1c-4854-9060-4bc487e095b6	258773002	0.5		
a70b2d48-6246-45ee-8e8a-3463bb6e72da	258684004	1		
e246e55a-8e6a-4f69-8a2f-207a39e1bf46	258684004	1		
9ee667b6-fb1a-48b1-aa18-4d1d08d3d220	258684004		15	20
2c228d87-b6d2-4b78-8df2-65dc92e29b11	258684004		15	20
7837e1f7-e9c8-423d-8eea-8a59724541d0	258684004	10		
81bdd181-2742-4a4b-aeaa-ed9873b80600	258684004	10		
524deee0-074d-47c6-8407-821f4a25d33a	258684004	25		
e59d70b5-7a27-4b8a-a88e-dcac1b76feb3	258682000		1	1.5
67127aa0-20a5-442e-9526-ea471690d356	258682000	1		
21c2252a-accf-4432-95a1-3e82e7b4f538	258684004	5		
5990a619-1fca-4c2d-8ae5-02e47d90aa07	258684004	5		
e02ef1ce-1ca6-4fb0-bbe8-accfa6e459d0	258684004	5		
ee4e7ece-1a96-4709-af9b-9c62080c8989	258684004	250		
7d668d62-d4d1-4c55-b77d-965afc0252bd	258684004	250		
705105c0-ff0c-4f39-ab66-f2cb483c9bc3	258684004	250		
7229c8ef-11e4-42db-9290-5ae52c6c1afc	258684004	7.5		
a53b6127-b64e-4014-824f-9885c7ee3453	258684004	7.5		
351c8265-cf58-4b94-bab0-f0ec1e6977cd	258773002	10		
e1691f0f-4dc1-4741-bf50-8fa5cb0fb18d	258773002	15		
