id	medication_id	value	units	description
995ba770-49eb-4e39-84a3-ea70f952df13	3fa81c86-fa1b-45fb-b8ec-8e5ffc003866	5	G	CREAM
a645747a-127c-4e82-a09d-e32cfa56b9f3	3bf3a283-4258-47c0-a1c0-726edc5179ff	5	ML	GRANULE, FOR SUSPENSION
a3287638-abf9-4406-ab48-1a78128bd727	9902f896-afc2-4208-a004-f7f6b0337e4f	1	CAPSULE	CAPSULE
4f538483-adfe-446d-b773-266336fa5ba0	580f7879-3631-40b7-b009-cec6fd738e7d	1	TABLET	TABLET, COATED
fa4dba78-4f58-41f5-8e71-bbfe090629d1	c508b89c-6be1-4ec6-be30-5bcd5d373b2f	1	TABLET	TABLET, COATED
8b1cfb05-5682-4152-9694-6be6594760b6	85da67a5-b313-4d36-92c8-d38f040b3ed6	1	TABLET	TABLET, COATED
5d5a11bb-03d1-4e16-9b59-9cb54cca7e2a	a66c36c4-9deb-4fb3-bf56-c18d0c8f23e0	5	G	CREAM
5e10e723-c4d5-4a9f-b601-c428c4580f4d	1adb802b-862c-4725-b5df-4b6d1188d2ac	1	TABLET	TABLET, COATED
3b03e4bc-d28f-4a87-b2cf-68a215130c8a	b89ebb29-9de0-4bd9-a9a9-a8cf233b8a64	1	TABLET	TABLET
6ad12434-13b5-4b29-a9d6-fae1b326d97b	3579ca56-88fe-4388-90e2-705cb1fd3f30	1	TABLET	TABLET
4265c92c-173b-4f41-92c4-ed3e062c1acf	7c80611a-8dac-4861-a8b2-09ac963099dc	5	G	CREAM
85a5ba5c-1808-44ad-97af-ca9096607664	f3121b01-2462-4c80-807b-d277cab23a6a	5	G	CREAM
6e66e81b-15e7-4974-8124-18da4a5dd393	a25b7878-2d34-4fd3-a89a-9f2c237fe233	1	TABLET	TABLET, COATED
d6ecf5f1-ba0f-43b3-b285-73dc283bc36a	42c03a73-34d6-425e-8605-b3c1364debf5	1	G	GEL
398e2606-0aea-4a54-9253-59168046a904	4d92ac10-6af2-4146-a85a-6d28e45e19bb	5	ML	SUSPENSION
8b50b054-da74-4913-b3ce-57cc2b5cc546	84e60255-6a63-4b61-8a32-0a6eb1c88a9d	1	CAPSULE	CAPSULE
b1a7c1e8-2abf-446e-931d-567375f42b7d	ceb06dbb-4443-4e6d-85f7-c582cc42dd2c	5	ML	SUSPENSION
944e72a4-651f-4a4d-ab32-f019336c9186	0cf091f4-3a5f-4ba2-8673-693051d42eac	1	TABLET	TABLET, COATED
332fc8a9-2377-450c-b9fb-4411bcc9728b	f2ef71da-48e8-421e-b18e-e826f16ad14d	1	ML	INJECTABLE
36a410e9-e3cf-4ba9-b42b-0ed68184beaa	e68cbf75-03b8-46ee-aecc-a7b84fd574cc	1	ML	INJECTABLE
fc83461e-4c61-4174-a7e0-55679e05016e	02fdf3de-1029-48ab-978b-6a60cb759e3a	5	ML	INJECTABLE
d8f7ab3a-6eaa-4e01-99f5-0c3c5a348e82	6ea8c78d-e7eb-4d8f-9a36-7cae5c89ca51	25	ML	INJECTABLE
5233361b-7baa-43e7-9582-1ca10d8d9315	73edce89-fb21-4e66-b035-4360714cee64	100	G	MIXTURE
c42d6183-074a-4408-a292-3e0baac89bf2	269e325f-53de-4c93-a734-828b2658aadc	1	TABLET	TABLET
6066f722-799f-40d9-a626-a22e7a694984	7dde9773-8793-4a7c-a1e4-f104b6df8df4	1	TABLET	TABLET
4d44d4c4-3aa0-4c88-aa2c-916f8f04fd49	f209ceaf-b9d1-4862-8bbe-e379989efe1b	1	TABLET	TABLET
eedeaff8-abe8-4daf-a8a1-a31c59ec324a	bdc1de36-b0d9-4962-a535-4fc9af9d7324	100	ML	GAS
1ccbc4d2-8a1b-4e42-a19a-8f13ec9a5722	92942cec-2b5b-4416-86f7-c1125a282edc	100	G	LIQUID
