condition_id	icd10_code
c_10709	H11.009
c_15780	R41.82
c_7394	E11.3599
c_10353	C07
c_8797	B26.9
c_18494	O24.419
c_25090	D69.2
c_10446	D49.2
c_23455	L60.8
c_8814	D49.7
c_20706	P76.0
c_10518	R59.9
c_2941	I25.3
c_9375	R21
c_2237	R91.8
c_13043	K92.89
c_9967	H40.20X0
c_11114	L85.8
c_9877	L57.0
c_2283	N40.0
c_2906	G70.00
c_2948	N89.8
c_13424	F15.10
c_10858	D50.9
c_2248	K27.9
c_7162	W55.81XA
c_7162	W55.81XD
c_7162	W55.81XS
c_22011	N34.1
c_2890	I07.1
c_2889	I07.0
c_2900	F31.9
c_9974	H40.1390
c_11904	B67.90
c_2134	C18.9
c_8398	E78.6
c_8408	T56.91XA
c_8408	T56.91XD
c_8408	T56.91XS
c_8596	M62.81
c_4700	I61.9
c_2924	C73
c_8232	M35.00
c_29991	Y04.1XXA
c_29991	Y04.1XXD
c_29991	Y04.1XXS
c_9804	E22.1
c_10335	C56.9
c_2878	R49.8
c_2158	D57.1
c_2175	R56.9
c_4714	K74.00
c_4932	K22.10
c_6574	J34.9
c_10031	E11.620
c_8173	D74.9
c_4894	L02.92
c_2141	E05.90
c_9985	H10.30
c_2865	I38
c_3409	N28.82
c_3399	M87.9
c_4734	K70.10
c_4734	F10.988
c_2963	R25.1
c_4232	M77.9
c_10667	L56.4
c_2718	B39.9
c_17503	F14.10
c_10331	C74.00
c_10522	J44.9
c_8574	Q43.0
c_8158	E83.39
c_9926	R25.2
c_10452	C71.9
c_4247	E07.9
c_10346	D24.9
c_1959	J69.0
c_2180	R55
c_2179	R51.9
c_8192	B34.9
c_8202	J94.2
c_5817	B58.9
c_9814	R19.5
c_20805	P70.1
c_19535	I61.4
c_18793	J18.9
c_18793	Y95
c_9986	H10.409
c_9911	M20.019
c_4934	Y07.9
c_8767	K83.3
c_10722	N36.2
c_10652	D23.9
c_9726	H50.10
c_4952	R09.02
c_10434	D16.9
c_18271	G61.0
c_2920	C67.9
c_2919	C61
c_8279	R81
c_8280	R83.8
c_10556	C91.Z0
c_10451	C71.9
c_366	J45.909
c_9432	B35.6
c_9362	H57.89
c_21747	L81.7
c_5435	D75.839
c_1967	J84.10
c_2067	C16.9
c_8784	N28.89
c_2545	K80.50
c_9683	N39.43
c_10738	M86.60
c_10468	C83.70
c_11604	K31.84
c_12928	F41.0
c_10643	L98.8
c_4248	E87.3
c_21765	R23.1
c_11508	N12
c_2327	R50.9
c_16637	I33.0
c_10051	S32.9XXA
c_10051	S32.9XXB
c_10051	S32.9XXD
c_10051	S32.9XXG
c_10051	S32.9XXK
c_10051	S32.9XXS
c_8183	G44.009
c_11116	O26.40
c_18602	I25.10
c_5676	I37.9
c_25512	N03.2
c_8384	G54.0
c_30030	R45.851
c_2181	G62.9
c_5539	A41.9
c_8342	J80
c_10816	K63.89
c_4786	S27.813A
c_4786	S27.813D
c_4786	S27.813S
c_2257	K59.00
c_9901	H27.00
c_9891	S82.90XA
c_9891	S82.90XB
c_9891	S82.90XC
c_9891	S82.90XD
c_9891	S82.90XE
c_9891	S82.90XF
c_9891	S82.90XG
c_9891	S82.90XH
c_9891	S82.90XJ
c_9891	S82.90XK
c_9891	S82.90XM
c_9891	S82.90XN
c_9891	S82.90XP
c_9891	S82.90XQ
c_9891	S82.90XR
c_9891	S82.90XS
c_7364	N61.0
c_7397	M79.2
c_8212	K29.60
c_8418	A46
c_10251	K13.79
c_26957	I82.90
c_10581	D23.9
c_4682	I77.810
c_8376	N83.519
c_5398	K76.82
c_8820	Q79.60
c_7937	R09.01
c_19920	S92.209A
c_19920	S92.209B
c_19920	S92.209D
c_19920	S92.209G
c_19920	S92.209K
c_19920	S92.209P
c_19920	S92.209S
c_19919	S92.009A
c_19919	S92.009B
c_19919	S92.009D
c_19919	S92.009G
c_19919	S92.009K
c_19919	S92.009P
c_19919	S92.009S
c_3506	N13.5
c_13957	E23.0
c_10043	G31.9
c_21774	L60.3
c_4377	F45.9
c_4970	D35.1
c_3740	H71.90
c_14674	B19.10
c_2337	C64.9
c_14309	N85.8
c_8592	E87.29
c_10607	M72.4
c_7389	B54
c_7400	M21.619
c_8307	E83.52
c_11567	I21.4
c_375	M86.9
c_10591	L94.2
c_10601	L43.2
c_10601	T50.905A
c_10601	T50.905D
c_10601	T50.905S
c_5010	G25.5
c_8793	Q75.8
c_6031	T81.590A
c_6031	T81.590D
c_6031	T81.590S
c_6031	L92.8
c_7972	G93.89
c_21757	L30.2
c_2874	D59.5
c_10181	E10.9
c_8403	D89.1
c_10364	D44.7
c_10347	D24.9
c_3862	D36.9
c_2319	M25.50
c_8115	A30.9
c_2136	C85.90
c_9796	A48.3
c_9796	B95.8
c_2918	C91.90
c_22405	S05.10XA
c_22405	S05.10XD
c_22405	S05.10XS
c_10008	H34.10
c_26620	Z20.5
c_10625	L85.8
c_6212	D71
c_2902	R37
c_9839	N92.6
c_2892	Q21.0
c_9840	E28.2
c_4699	N61.1
c_9805	G12.29
c_3227	R31.9
c_9996	H25.9
c_21878	K81.0
c_9606	S06.0X0A
c_9606	S06.0X0D
c_9606	S06.0X0S
c_10199	N48.6
c_11229	R07.89
c_4944	E63.9
c_2188	H40.9
c_4362	K21.9
c_10243	K13.21
c_9274	M43.6
c_2858	C80.1
c_2303	L50.9
c_2293	Q61.02
c_10764	D21.9
c_21799	F63.3
c_21809	D48.1
c_10026	L28.1
c_9187	H35.109
c_16908	D57.00
c_2216	I45.9
c_6697	R56.00
c_8532	D47.1
c_6707	B05.9
c_10642	M32.9
c_10460	D36.10
c_10459	D49.7
c_11524	I12.9
c_11524	N18.9
c_23372	G57.60
c_11507	N01.9
c_21791	L82.0
c_21801	L50.8
c_9935	I87.8
c_9702	E29.1
c_10521	Q01.9
c_8515	R09.81
c_2049	K57.90
c_2050	K57.10
c_6143	D80.1
c_10826	R19.4
c_10677	L90.5
c_2483	D63.8
c_8766	D3A.098
c_21792	L91.8
c_21802	D47.01
c_2954	R23.3
c_8749	K31.89
c_8750	K26.5
c_7920	O36.8990
c_4492	N28.85
c_4502	M54.30
c_2066	K25.9
c_4318	H91.90
c_2467	K13.70
c_2814	D56.9
c_4857	B89
c_17207	F31.9
c_10859	D53.1
c_12927	R53.82
c_3974	G91.9
c_21818	L51.2
c_8333	I24.1
c_4889	I73.00
c_8348	N15.1
c_10286	D07.4
c_8332	I31.4
c_15157	Q39.0
c_16040	S04.019A
c_16040	S04.019D
c_16040	S04.019S
c_2284	N73.9
c_4335	R16.0
c_3454	M41.9
c_7379	M89.40
c_26947	E66.3
c_26599	M25.539
c_26609	S93.519A
c_26609	S93.519D
c_26609	S93.519S
c_17806	J42
c_10461	D36.10
c_9848	N81.4
c_10504	I77.3
c_2267	K74.60
c_6663	P59.29
c_9752	K05.30
c_4127	R94.5
c_25511	Q61.3
c_9154	L57.0
c_2944	N76.0
c_17208	F31.30
c_10321	D48.9
c_2233	I26.99
c_3775	Q85.00
c_2251	K57.32
c_8124	B75
c_21731	L90.8
c_10425	C56.9
c_4371	D16.9
c_14673	B19.20
c_4614	L94.9
c_10398	C49.9
c_13045	I47.21
c_21748	D03.9
c_1975	Z22.7
c_8323	E73.9
c_2119	A53.9
c_3765	M40.209
c_2120	A54.9
c_8228	L55.0
c_9666	R06.3
c_10713	D89.813
c_3645	T84.9XXA
c_3645	T84.9XXD
c_3645	T84.9XXS
c_2850	L21.8
c_9771	R63.2
c_5399	H72.90
c_2137	C81.90
c_2285	N72
c_8783	E88.09
c_9423	S72.90XA
c_9423	S72.90XB
c_9423	S72.90XC
c_9423	S72.90XD
c_9423	S72.90XE
c_9423	S72.90XF
c_9423	S72.90XG
c_9423	S72.90XH
c_9423	S72.90XJ
c_9423	S72.90XK
c_9423	S72.90XM
c_9423	S72.90XN
c_9423	S72.90XP
c_9423	S72.90XQ
c_9423	S72.90XR
c_9423	S72.90XS
c_19214	R12
c_4386	K92.0
c_2225	L03.90
c_22882	K12.2
c_21738	K13.0
c_2328	R61
c_9396	R10.829
c_9092	P24.01
c_8220	K92.1
c_8219	K86.89
c_3715	Q40.3
c_30031	H92.20
c_23052	E66.01
c_26574	N64.52
c_10001	Q13.81
c_17771	D46.9
c_3341	N42.0
c_8774	E74.12
c_10252	Q82.4
c_21782	L08.89
c_10034	D23.9
c_5469	N17.0
c_10737	E21.0
c_10391	C49.9
c_10401	C49.9
c_2953	D69.2
c_4777	K62.1
c_8811	T78.40XA
c_8811	T78.40XD
c_8811	T78.40XS
c_8811	N77.1
c_5434	D72.810
c_8236	M79.7
c_374	I10
c_10746	S83.209A
c_10746	S83.209D
c_10746	S83.209S
c_11117	L12.1
c_8402	D49.7
c_8392	R57.9
c_2936	R36.9
c_23373	M25.579
c_13436	Q96.9
c_10382	C49.9
c_8758	D59.10
c_10685	H11.159
c_6716	N48.1
c_2502	Q43.3
c_18012	G58.7
c_20806	O36.20X0
c_4343	J38.1
c_4370	C41.9
c_9586	R23.8
c_9711	K04.01
c_21798	A48.8
c_21808	D48.5
c_10893	H69.90
c_10903	R09.89
c_17319	D73.1
c_11558	F42.9
c_10589	D04.9
c_10660	L10.1
c_10659	L10.2
c_10600	L27.1
c_10600	T50.905A
c_10600	T50.905D
c_10600	T50.905S
c_4778	Q04.3
c_4587	I89.0
c_9553	D61.818
c_4336	K62.4
c_5095	Q54.9
c_10676	M06.30
c_5468	A52.3
c_3644	K56.609
c_13349	F11.10
c_8116	A42.9
c_15174	Q42.3
c_11455	N11.9
c_29959	S49.90XA
c_29959	S49.90XD
c_29959	S49.90XS
c_11525	R82.998
c_4499	L93.0
c_4457	R22.1
c_10651	D22.9
c_31625	R56.9
c_10372	D23.9
c_9562	M65.9
c_19111	Z67.20
c_10305	C21.8
c_2484	J06.9
c_10773	C54.1
c_2224	I73.9
c_10190	L98.9
c_9128	L44.4
c_8149	E75.5
c_8150	E78.1
c_1951	J18.0
c_9917	S46.919A
c_9917	S46.919D
c_9917	S46.919S
c_3349	N32.89
c_22881	L02.01
c_10852	A60.9
c_10322	D36.9
c_8133	D34
c_9569	R10.829
c_3982	R10.9
c_10235	L85.8
c_9761	R39.89
c_10338	D27.9
c_22099	N48.30
c_4701	K73.2
c_2962	Q82.8
c_8166	R58
c_26601	M79.676
c_6690	M43.6
c_6689	B08.20
c_6700	N39.44
c_9787	T70.29XA
c_9787	T70.29XD
c_9787	T70.29XS
c_17484	F29
c_8237	M79.669
c_7190	R43.0
c_9995	H26.009
c_2875	D45
c_8271	R73.9
c_2302	L70.9
c_14631	B20
c_14631	P35.8
c_4648	T50.901A
c_4648	T50.901D
c_4648	T50.901S
c_26602	S56.919A
c_26602	S56.919D
c_26602	S56.919S
c_4378	M51.9
c_10598	B35.9
c_10608	D48.5
c_2927	H90.2
c_9441	R68.84
c_9561	S39.012A
c_9561	S39.012D
c_9561	S39.012S
c_10409	C49.9
c_9777	K90.0
c_10416	C56.9
c_8792	I82.90
c_8802	B99.9
c_8802	K76.9
c_3245	Q79.1
c_13653	F50.2
c_10381	L10.0
c_11228	N28.89
c_2884	I34.0
c_10426	C49.9
c_10009	H34.8192
c_21913	K65.2
c_10817	K51.40
c_9856	N88.3
c_10052	Q82.8
c_4361	N13.70
c_8341	J39.0
c_7936	R44.3
c_2321	T14.8XXA
c_2321	T14.8XXD
c_2321	T14.8XXS
c_6717	R15.9
c_2215	I31.9
c_8411	D15.1
c_9822	R04.89
c_9691	R10.2
c_21740	T69.1XXA
c_21740	T69.1XXD
c_21740	T69.1XXS
c_9701	E28.39
c_10582	D23.9
c_9978	H40.1490
c_7372	M25.00
c_17217	F60.2
c_9099	B08.1
c_3375	N36.1
c_2903	F19.10
c_19519	G96.00
c_10025	L88
c_25649	N48.9
c_11559	A68.1
c_11560	A68.0
c_8287	T79.1XXA
c_8287	T79.1XXD
c_8287	T79.1XXS
c_10616	Q82.8
c_11185	I10
c_2162	D72.819
c_29984	N89.8
c_9424	S82.209A
c_9424	S82.209B
c_9424	S82.209C
c_9424	S82.209D
c_9424	S82.209E
c_9424	S82.209F
c_9424	S82.209G
c_9424	S82.209H
c_9424	S82.209J
c_9424	S82.209K
c_9424	S82.209M
c_9424	S82.209N
c_9424	S82.209P
c_9424	S82.209Q
c_9424	S82.209R
c_9424	S82.209S
c_7703	Z78.9
c_19536	I61.0
c_10546	K73.0
c_2155	R16.1
c_20711	K22.2
c_6142	T14.91XA
c_6142	T14.91XD
c_6142	T14.91XS
c_4317	G81.90
c_10356	D39.10
c_9571	R39.11
c_10661	L81.7
c_10529	C43.9
c_8211	K14.0
c_10390	C49.9
c_10389	D21.9
c_10400	C49.9
c_365	I50.9
c_5389	N25.0
c_5400	F95.8
c_8575	N45.1
c_9587	K13.79
c_10617	Q85.9
c_6664	F81.9
c_10721	R86.8
c_11108	C91.40
c_2232	J90
c_11098	J84.9
c_22725	L30.8
c_10443	D48.9
c_9614	R22.9
c_21930	F44.9
c_22029	N60.09
c_6847	D51.0
c_3228	I12.9
c_3228	N18.9
c_10330	D35.00
c_13348	F14.10
c_3244	J43.9
c_4302	C96.6
c_4702	K83.09
c_10704	L21.0
c_30021	N32.0
c_9918	S43.409A
c_9918	S43.409D
c_9918	S43.409S
c_6681	I89.1
c_9735	K03.5
c_2911	G03.9
c_2145	E83.52
c_11082	N30.90
c_9770	R23.2
c_9769	R23.1
c_2466	D58.9
c_8151	C88.0
c_6497	G95.20
c_10035	E80.1
c_5677	I07.9
c_6359	I77.70
c_9753	K05.219
c_6708	J35.01
c_9892	S92.919A
c_9892	S92.919B
c_9892	S92.919D
c_9892	S92.919G
c_9892	S92.919K
c_9892	S92.919P
c_9892	S92.919S
c_2937	R32
c_8167	D64.89
c_8357	Q43.1
c_8949	R44.9
c_3870	S37.009A
c_3870	S37.009D
c_3870	S37.009S
c_3766	M85.60
c_2311	M06.9
c_9882	H21.00
c_8324	E78.00
c_4698	N64.89
c_11897	I20.0
c_11907	B73.1
c_9936	B35.0
c_11298	C73
c_10669	Q82.8
c_10853	B00.89
c_21784	L44.0
c_18022	M54.12
c_8231	L30.4
c_8125	B74.9
c_15915	K41.90
c_10663	L72.11
c_10383	D44.4
c_4666	K83.9
c_11536	R35.1
c_8595	G61.0
c_2947	O15.9
c_2869	E27.40
c_2870	E04.9
c_8585	K63.1
c_9400	T18.9XXA
c_9400	T18.9XXD
c_9400	T18.9XXS
c_10819	T14.90XA
c_10819	T14.90XD
c_10819	T14.90XS
c_10819	W88.8XXA
c_10819	W88.8XXD
c_10819	W88.8XXS
c_2470	L93.0
c_8143	E56.1
c_10636	L81.4
c_10636	X32.XXXS
c_10618	D21.9
c_2164	F20.9
c_10357	D29.20
c_8404	J38.7
c_8394	M60.9
c_3230	H52.10
c_3229	I87.2
c_8213	K22.3
c_2912	G71.00
c_21812	R22.9
c_10054	A52.15
c_23375	M76.50
c_4736	D57.3
c_22353	R26.2
c_6699	J21.9
c_6709	B86
c_10593	L30.9
c_8310	A56.01
c_8309	A28.1
c_2399	R19.00
c_3247	E11.319
c_10375	C43.9
c_2485	N94.10
c_2182	G35
c_4504	G93.2
c_15150	Q36.9
c_5087	I62.9
c_2930	R39.12
c_9937	B35.3
c_2929	N20.0
c_19928	S83.106A
c_19928	S83.106D
c_19928	S83.106S
c_10193	N47.2
c_10203	T14.8XXA
c_10203	T14.8XXD
c_10203	T14.8XXS
c_2565	K52.9
c_10358	D27.9
c_10705	D23.30
c_19929	S93.06XA
c_19929	S93.06XD
c_19929	S93.06XS
c_19930	S93.306A
c_19930	S93.306D
c_19930	S93.306S
c_11501	N04.1
c_20712	K22.2
c_10653	L30.0
c_10679	I87.2
c_368	J18.9
c_5132	H73.20
c_10392	C49.9
c_10402	C55
c_11527	N02.8
c_9713	K04.1
c_10374	D22.9
c_3367	K56.609
c_2668	K44.9
c_8768	K86.89
c_4233	A51.31
c_9616	L91.9
c_4381	G82.50
c_4503	N45.2
c_10584	M31.0
c_6224	T59.811A
c_6224	T59.811D
c_6224	T59.811S
c_6224	J70.5
c_8186	I26.99
c_2946	N93.9
c_10757	Q05.9
c_8326	E87.29
c_5088	F82
c_10237	K11.20
c_9085	I88.9
c_9252	H16.009
c_1510	A01.02
c_5627	K65.9
c_2885	I35.0
c_11075	D33.3
c_9789	M62.82
c_9800	M30.3
c_8386	N00.9
c_9938	B36.0
c_3854	I12.9
c_3854	N18.9
c_8359	R13.12
c_9921	S93.409A
c_9921	S93.409D
c_9921	S93.409S
c_10341	C78.6
c_4737	I00
c_2130	C44.90
c_13447	O40.9XX0
c_8214	K22.4
c_2129	C34.90
c_9833	C52
c_8230	L53.9
c_2365	J32.9
c_4649	H05.20
c_30718	P08.0
c_10053	B36.9
c_21793	I78.1
c_21803	D18.01
c_8126	M35.2
c_8414	K01.1
c_3316	M83.9
c_9173	I21.9
c_3968	L65.9
c_13534	A64
c_10740	C44.99
c_2843	E28.0
c_19537	I61.3
c_21741	L21.0
c_7939	A80.9
c_10733	D21.9
c_10324	C80.1
c_8777	I45.5
c_8813	C70.9
c_10184	S92.109A
c_10184	S92.109B
c_10184	S92.109D
c_10184	S92.109G
c_10184	S92.109K
c_10184	S92.109P
c_10184	S92.109S
c_10036	K44.9
c_4345	I82.90
c_9425	S82.409A
c_9425	S82.409B
c_9425	S82.409C
c_9425	S82.409D
c_9425	S82.409E
c_9425	S82.409F
c_9425	S82.409G
c_9425	S82.409H
c_9425	S82.409J
c_9425	S82.409K
c_9425	S82.409M
c_9425	S82.409N
c_9425	S82.409P
c_9425	S82.409Q
c_9425	S82.409R
c_9425	S82.409S
c_8577	M84.30XA
c_8577	M84.30XD
c_8577	M84.30XG
c_8577	M84.30XK
c_8577	M84.30XP
c_8577	M84.30XS
c_6701	M08.80
c_6691	K21.9
c_4363	E87.5
c_2140	E04.1
c_9408	L05.91
c_10732	C96.6
c_7938	A18.03
c_4588	M67.40
c_2876	J02.9
c_4346	K83.1
c_9443	H49.9
c_8594	I10
c_6675	M87.859
c_8248	R63.1
c_9442	H53.40
c_4380	G82.20
c_2278	N12
c_22884	K04.7
c_11214	R23.8
c_17487	F41.0
c_21751	A69.20
c_26622	Z20.6
c_2053	I99.8
c_7373	I77.6
c_5011	N13.8
c_4693	J34.89
c_4667	K82.8
c_19522	S33.100A
c_19522	S33.100D
c_19522	S33.100S
c_11119	D22.9
c_11120	D23.9
c_8761	E75.22
c_10027	L60.3
c_8794	R79.1
c_8804	E88.89
c_11456	N10
c_10011	H35.359
c_2313	M10.9
c_8543	M46.1
c_9963	R47.1
c_10854	R62.52
c_10792	L90.0
c_3698	E04.1
c_7402	L84
c_9773	R49.1
c_9779	R09.82
c_9997	H26.109
c_10315	C24.0
c_9824	K31.819
c_2304	R21
c_4684	I42.1
c_4130	F60.9
c_4129	G54.9
c_26005	R68.81
c_2305	L29.9
c_2261	R11.10
c_19521	S13.100A
c_19521	S13.100D
c_19521	S13.100S
c_8344	M26.642
c_8238	R25.2
c_13576	Q99.9
c_8576	N50.819
c_11186	N48.9
c_2077	K31.7
c_9981	H49.00
c_8240	M93.90
c_8239	M86.9
c_17199	F20.0
c_11571	C80.1
c_17209	F31.60
c_1648	B89
c_10411	C45.9
c_9660	F80.81
c_9659	Z97.2
c_21775	C00.9
c_4581	Q64.9
c_14676	B97.4
c_4564	Q05.9
c_10462	D21.9
c_2956	M31.6
c_21734	R23.2
c_10444	C41.9
c_8795	R09.89
c_8805	M94.1
c_8152	E88.09
c_7835	R47.02
c_11065	K52.9
c_9703	T63.791A
c_9703	T63.791D
c_9703	T63.791S
c_25514	N03.9
c_9920	S63.509A
c_9920	S63.509D
c_9920	S63.509S
c_9919	S66.919A
c_9919	S66.919D
c_9919	S66.919S
c_10445	C40.90
c_3404	J34.9
c_10662	L28.0
c_26689	D56.3
c_2201	H92.09
c_2191	H53.9
c_10463	C49.9
c_2895	R00.2
c_2905	R27.0
c_9904	L85.3
c_9894	S92.909A
c_9894	S92.909B
c_9894	S92.909D
c_9894	S92.909G
c_9894	S92.909K
c_9894	S92.909P
c_9894	S92.909S
c_3742	R00.0
c_2174	G20
c_9094	Q75.3
c_3560	E04.1
c_8168	D69.6
c_10645	D22.9
c_21221	Z88.8
c_11110	D64.9
c_2722	R59.0
c_9191	Q85.1
c_2939	K92.2
c_2940	D64.3
c_8335	D89.9
c_8335	I79.8
c_8134	D12.6
c_9903	L08.0
c_9893	S42.309A
c_9893	S42.309B
c_9893	S42.309D
c_9893	S42.309G
c_9893	S42.309K
c_9893	S42.309P
c_9893	S42.309S
c_2217	I20.9
c_14675	B15.9
c_19538	I61.8
c_4945	F29
c_6665	R78.81
c_4121	Z87.898
c_7286	P07.30
c_8639	R68.89
c_8640	I49.9
c_2400	N17.2
c_11084	Q55.0
c_10436	Q78.6
c_3498	N20.1
c_23454	M79.673
c_10741	M12.20
c_10418	D27.9
c_9617	T14.8XXA
c_9617	T14.8XXD
c_9617	T14.8XXS
c_9581	Z20.1
c_2322	M45.9
c_4234	A63.0
c_2877	J67.9
c_2078	K80.20
c_9988	H15.009
c_10706	C96.6
c_10654	M79.3
c_10696	D76.3
c_6536	O47.9
c_20713	A08.0
c_6439	K76.89
c_8785	T82.9XXA
c_8785	T82.9XXD
c_8785	T82.9XXS
c_8785	Y71.2
c_5116	B00.2
c_22006	M79.2
c_2131	C49.9
c_4712	F10.231
c_4337	K56.690
c_3081	G24.01
c_3081	T50.905A
c_3081	T50.905D
c_3081	T50.905S
c_10403	C64.9
c_10393	D17.71
c_11544	D70.9
c_9293	R18.8
c_10287	C79.9
c_8343	J98.6
c_2138	C43.9
c_3368	K56.609
c_8170	D73.3
c_9945	J35.3
c_8622	Q89.01
c_9129	Q75.0
c_3855	Q25.1
c_9130	Z21
c_9417	K62.5
c_10349	C80.1
c_16624	Q13.0
c_2894	Q25.0
c_2904	G51.0
c_9684	N64.52
c_2323	M02.30
c_10724	D59.30
c_9276	H92.09
c_10687	L98.499
c_9798	J60
c_2148	E21.3
c_9808	M25.569
c_4249	D69.1
c_4250	I60.9
c_29971	H44.709
c_8752	A69.23
c_9825	K56.1
c_8377	N36.8
c_2122	B37.31
c_8177	R41.0
c_3282	N40.0
c_10678	L21.8
c_10342	C80.1
c_8204	J98.51
c_8194	J05.10
c_11074	G62.9
c_2338	C55
c_3846	M85.80
c_19513	T85.730A
c_19513	T85.730D
c_19513	T85.730S
c_19513	B99.9
c_2886	I35.1
c_9590	K08.89
c_9589	K14.6
c_21819	L08.1
c_21820	L93.1
c_2921	C32.9
c_10592	H61.009
c_10602	Q82.8
c_10583	D23.9
c_8334	I67.4
c_21811	D23.9
c_3976	R45.89
c_11466	T80.90XA
c_11466	T80.90XD
c_11466	T80.90XS
c_2252	K51.90
c_4451	I31.39
c_10453	C71.9
c_7077	K31.0
c_2714	C78.00
c_2868	E26.9
c_14834	B40.9
c_8742	K65.1
c_8638	D61.1
c_8638	T50.905A
c_8638	T50.905D
c_8638	T50.905S
c_11457	N19
c_6345	K76.89
c_3628	R00.1
c_10723	E11.21
c_9416	S02.30XA
c_9416	S02.30XB
c_9416	S02.30XD
c_9416	S02.30XG
c_9416	S02.30XK
c_9416	S02.30XS
c_9434	H52.31
c_21749	L08.0
c_21750	L53.1
c_12913	D70.3
c_12913	A41.9
c_10419	C62.90
c_10420	D27.9
c_4354	N28.1
c_8535	G98.8
c_10619	I78.1
c_10620	D18.00
c_21776	L03.039
c_9667	R14.2
c_8160	E87.20
c_8159	E83.39
c_2340	C56.9
c_2339	C53.9
c_8144	E55.0
c_8247	L85.3
c_6423	D12.6
c_4138	R20.2
c_2147	E78.5
c_19512	T85.09XA
c_19512	T85.09XD
c_19512	T85.09XS
c_19512	Y75.1
c_9754	K05.6
c_22136	L03.119
c_11215	T67.5XXA
c_11215	T67.5XXD
c_11215	T67.5XXS
c_2208	R07.9
c_2198	H83.2X9
c_2235	R06.00
c_9912	S42.109A
c_9912	S42.109B
c_9912	S42.109D
c_9912	S42.109G
c_9912	S42.109K
c_9912	S42.109P
c_9912	S42.109S
c_16258	G40.309
c_4658	T56.0X1A
c_4658	T56.0X1D
c_4658	T56.0X1S
c_29952	S05.90XA
c_29952	S05.90XD
c_29952	S05.90XS
c_3776	K13.70
c_4902	D24.9
c_11145	G30.9
c_11145	F02.80
c_2931	N25.89
c_8351	N84.0
c_10202	T14.8XXA
c_10202	T14.8XXD
c_10202	T14.8XXS
c_10192	D36.10
c_6526	O14.90
c_3977	E79.0
c_30699	F52.4
c_18023	M54.12
c_2314	M71.9
c_10037	K43.9
c_11091	C83.80
c_10599	D21.9
c_10610	D36.9
c_10028	C84.00
c_16901	D68.9
c_4946	E06.3
c_21759	T63.481A
c_21759	T63.481D
c_21759	T63.481S
c_21760	B00.0
c_9858	O21.0
c_13681	R68.89
c_2913	G04.90
c_9884	H35.039
c_4971	E34.0
c_2964	H47.10
c_3717	I28.1
c_8222	R82.71
c_9946	S02.2XXA
c_9946	S02.2XXB
c_9946	S02.2XXD
c_9946	S02.2XXG
c_9946	S02.2XXK
c_9946	S02.2XXS
c_2461	E24.0
c_8361	T58.94XA
c_8361	T58.94XD
c_8361	T58.94XS
c_4128	D75.1
c_8178	F19.20
c_2210	I11.9
c_2209	I09.9
c_22007	S13.9XXA
c_22007	S13.9XXD
c_22007	S13.9XXS
c_10688	M30.1
c_2721	R22.2
c_8055	B20
c_13959	T65.94XA
c_13959	T65.94XD
c_13959	T65.94XS
c_13959	J70.9
c_8743	T80.92XA
c_8743	T80.92XD
c_8743	T80.92XS
c_9728	I77.9
c_10557	C93.90
c_3281	J98.11
c_20807	E88.9
c_10714	K14.3
c_4660	E87.1
c_11502	M32.14
c_4903	J86.9
c_8776	B99.9
c_15637	K44.0
c_3343	L92.9
c_8325	E20.1
c_9608	Q82.5
c_2460	E22.2
c_2459	E23.2
c_26621	Z20.5
c_10758	M65.88
c_8256	R34
c_2269	B17.9
c_2270	K85.90
c_9980	H50.10
c_9979	H50.00
c_4711	I78.1
c_11205	M46.40
c_11195	S52.90XA
c_11195	S52.90XB
c_11195	S52.90XC
c_11195	S52.90XD
c_11195	S52.90XE
c_11195	S52.90XF
c_11195	S52.90XG
c_11195	S52.90XH
c_11195	S52.90XJ
c_11195	S52.90XK
c_11195	S52.90XM
c_11195	S52.90XN
c_11195	S52.90XP
c_11195	S52.90XQ
c_11195	S52.90XR
c_11195	S52.90XS
c_6718	R06.6
c_22883	J39.0
c_8405	R09.89
c_8395	I51.4
c_22649	M06.4
c_18605	I25.5
c_9930	Z96.1
c_9929	S83.249A
c_9929	S83.249D
c_9929	S83.249S
c_8195	J38.4
c_8205	J39.8
c_8352	O45.90
c_21766	L04.9
c_6554	N84.1
c_10454	C71.6
c_19112	Z67.10
c_10183	R09.1
c_4137	N43.3
c_6692	G03.0
c_6702	A03.9
c_8385	M31.0
c_9964	Q35.9
c_25052	D89.2
c_19704	F30.9
c_2965	H50.9
c_10236	Q82.8
c_6353	R94.2
c_9676	L28.0
c_8586	R06.2
c_30571	J45.20
c_8118	A90
c_4590	L57.0
c_4589	J34.89
c_272	Z86.79
c_10428	D48.1
c_23374	M25.529
c_8838	A69.20
c_4458	K52.9
c_21742	B76.9
c_21767	I88.1
c_11510	N11.9
c_11509	N10
c_9694	H53.009
c_9704	M27.3
c_16553	S22.39XA
c_16553	S22.39XB
c_16553	S22.39XD
c_16553	S22.39XG
c_16553	S22.39XK
c_16553	S22.39XS
c_5462	G31.9
c_4338	K56.609
c_9588	K11.7
c_4606	T30.0
c_4364	H65.90
c_1952	J18.1
c_1968	A15.9
c_4372	N62
c_21758	Q82.3
c_8786	D75.89
c_1969	D86.9
c_2070	K31.89
c_3238	R80.9
c_10471	C64.9
c_3377	T50.905A
c_3377	T50.905D
c_3377	T50.905S
c_3377	K71.6
