condition_id	icd10_code
c_29957	S89.90XS
c_22008	S33.6XXA
c_22008	S33.6XXD
c_22008	S33.6XXS
c_2325	R63.4
c_10586	E85.9
c_10032	L81.1
c_11506	N05.9
c_11506	B94.9
c_9844	N39.3
c_8120	A78
c_8119	A82.9
c_5090	P35.0
c_5100	Q02
c_21787	L29.3
c_5682	F55.2
c_11531	N28.1
c_11503	N03.2
c_30704	O14.20
c_8801	E87.0
c_30797	F84.0
c_9803	I20.1
c_10517	Q82.0
c_9906	S42.409A
c_9906	S42.409B
c_9906	S42.409D
c_9906	S42.409G
c_9906	S42.409K
c_9906	S42.409P
c_9906	S42.409S
c_9896	S42.009A
c_9896	S42.009B
c_9896	S42.009D
c_9896	S42.009G
c_9896	S42.009K
c_9896	S42.009P
c_9896	S42.009S
c_8172	D73.5
c_18963	J20.9
c_9836	C51.9
c_10621	C96.6
c_2914	C14.0
c_11085	N43.40
c_2236	R05.9
c_3857	I10
c_4452	N31.9
c_2062	K20.90
c_20149	G03.9
c_20150	G23.8
c_8389	A39.4
c_10388	C44.99
c_8390	E54
c_5291	Z33.2
c_14835	B38.9
c_8285	S73.006A
c_8285	S73.006D
c_8285	S73.006S
c_9765	R41.3
c_2925	H52.7
c_4941	Q98.4
c_10632	M31.30
c_2187	H10.9
c_6537	Z63.8
c_9602	H57.10
c_8937	K22.70
c_10316	D13.4
c_11188	S62.90XA
c_11188	S62.90XB
c_11188	S62.90XD
c_11188	S62.90XG
c_11188	S62.90XK
c_11188	S62.90XP
c_11188	S62.90XS
c_9255	H53.149
c_9733	M75.100
c_8378	K83.09
c_4664	J47.9
c_7343	N88.9
c_10822	K90.1
c_8589	I49.5
c_8600	G47.30
c_3320	D36.9
c_20638	N42.9
c_4670	K86.3
c_4669	R19.09
c_10665	L81.6
c_8372	I71.00
c_10073	L85.8
c_10447	D49.2
c_8286	T16.9XXA
c_8286	T16.9XXD
c_8286	T16.9XXS
c_11209	I88.9
c_11286	Q18.0
c_10697	G93.89
c_10707	L98.6
c_22012	J01.90
c_11514	O26.839
c_10361	D27.9
c_9428	L08.9
c_9560	C71.9
c_19888	T14.8XXA
c_19888	T14.8XXD
c_19888	T14.8XXS
c_9401	R06.81
c_5404	Z98.890
c_8580	G90.50
c_2160	D58.2
c_2159	D61.9
c_6211	S29.9XXA
c_6211	S29.9XXD
c_6211	S29.9XXS
c_10648	L94.0
c_19932	S43.006A
c_19932	S43.006D
c_19932	S43.006S
c_8764	G90.2
c_4500	N13.30
c_19524	S22.009A
c_19524	S22.009B
c_19524	S22.009D
c_19524	S22.009G
c_19524	S22.009K
c_19524	S22.009S
c_9678	H53.50
c_10431	C49.9
c_8573	R50.9
c_10604	L57.9
c_10604	X32.XXXS
c_10594	L72.0
c_8208	K12.2
c_1989	I87.8
c_11226	H04.129
c_14204	S31.41XA
c_14204	S31.41XD
c_14204	S31.41XS
c_13953	S06.4X0A
c_13953	S06.4X0D
c_13953	S06.4X0S
c_10637	C43.9
c_4608	I96
c_5883	E87.0
c_5464	G93.6
c_4365	H47.20
c_2741	I05.0
c_14097	F95.2
c_3493	Q66.00
c_17488	F41.1
c_16133	D51.0
c_6357	K63.9
c_4348	N13.5
c_3405	Z90.5
c_8373	A06.2
c_4566	A18.11
c_23194	J32.9
c_8839	N70.92
c_16844	Z72.0
c_10246	O41.00X0
c_10850	E30.1
c_9999	H02.059
c_2143	E11.9
c_2942	N60.19
c_9819	G40.209
c_8122	A44.9
c_2420	J34.9
c_9705	E11.40
c_4202	I51.7
c_2176	G43.909
c_25517	E10.21
c_3226	S09.90XA
c_3226	S09.90XD
c_3226	S09.90XS
c_2464	D69.6
c_8182	G95.0
c_4300	N64.3
c_9272	J35.1
c_9983	H49.20
c_8399	G06.2
c_2291	N04.9
c_18016	G64
c_9934	B85.1
c_5546	K62.89
c_9923	M77.30
c_9743	K05.10
c_9124	P83.1
c_2915	C92.Z0
c_2127	D49.9
c_28159	S26.91XA
c_28159	S26.91XD
c_28159	S26.91XS
c_9348	M65.9
c_10655	D23.9
c_2166	F32.A
c_9664	R06.7
c_10606	L81.2
c_8617	M89.8X9
c_4604	K11.20
c_9273	Q38.5
c_10465	C90.00
c_8129	C74.90
c_8130	C25.4
c_7111	K59.89
c_19933	S53.106A
c_19933	S53.106D
c_19933	S53.106S
c_8874	J96.90
c_9435	H52.32
c_8330	G08
c_8329	D69.0
c_1980	C79.51
c_8123	A27.9
c_17196	F25.9
c_8215	K31.83
c_4958	F10.129
c_4393	E16.2
c_4252	D72.10
c_2950	L43.9
c_2949	L42
c_17359	K30
c_2063	C15.9
c_1963	J93.9
c_8406	E24.3
c_8406	D49.9
c_8396	M50.10
c_2943	N80.9
c_11504	N05.5
c_11607	A77.0
c_10405	D27.9
c_10395	D35.00
c_2672	R19.00
c_9924	M24.50
c_4230	I42.9
c_4229	I73.9
c_9973	Q15.0
c_8944	G47.419
c_8313	B59
c_8787	D68.2
c_370	H26.9
c_8379	S37.069A
c_8379	S37.069D
c_8379	S37.069S
c_8380	S36.116A
c_8380	S36.116D
c_8380	S36.116S
c_3918	D17.9
c_4573	K56.41
c_10638	L81.4
c_10638	X32.XXXS
c_2932	N41.9
c_19662	I30.9
c_10292	C34.90
c_10302	D23.9
c_8417	B08.3
c_11548	A04.1
c_3233	R20.0
c_10856	D46.4
c_2177	I63.9
c_5075	Q27.9
c_3978	R01.1
c_4306	R73.02
c_4296	K65.1
c_10579	L71.9
c_10580	C79.9
c_5117	M54.2
c_9365	J02.9
c_11087	J98.11
c_10024	L13.0
c_7160	W57.XXXA
c_7160	W57.XXXD
c_7160	W57.XXXS
c_7159	B85.2
c_9837	N75.0
c_29956	T14.8XXA
c_29956	T14.8XXD
c_29956	T14.8XXS
c_4697	C44.91
c_11407	N81.89
c_11397	I49.8
c_4220	R89.6
c_10318	D12.6
c_9886	M72.2
