name,lat1,lon1,lat2,lon2
Culo Health Post Posto De Sa├║de	-6.9833	14.3833	-7.6925	15.2206
Gunza Health Post Posto De Sa├║de	-7.6097	14.4157	-7.968	15.8511
Gunza Health Post Posto De Sa├║de	-7.5242	14.9365	-7.968	15.8511
Lemba Health Post Posto De Sa├║de	-6.4667	15.2833	-8.7811	17.2433
Misspo Health Post Posto De Sa├║de	-6.6755	15.1281	-10.7392	14.9793
Quipumba Health Post Posto De Sa├║de	-6.9549	14.6329	-7.25	15.0833
Quissosso Health Post Posto De Sa├║de	-7.3365	15.1081	-7.3433	15.0989
Quituia Health Post Posto De Sa├║de	-6.6167	15.9167	-7.8325	15.2414
Tema Health Post Posto De Sa├║de	-7.0781	14.7417	-7.65	15.45
Tema Health Post Posto De Sa├║de	-6.8992	15.3189	-7.65	15.45
Uige Centro Materno Infantil	-7.6121	15.0572	-7.617	15.05
Valedia Health Post Posto De Sa├║de	-6.0681	15.0984	-11.0579	14.3327
Bela Vista Health Post Posto De Sa├║de	-6.2333	14.2333	-12.5786	13.4025
Bungo Health Post Posto De Sa├║de	-6.4127	12.7861	-9.6902	14.6705
Dia- Dia Health Post Posto De Sa├║de	-6.05	14.6833	-7.2283	12.8627
Ngoma Health Post Posto De Sa├║de	-6.256	14.2204	-13.1208	14.0996
Quatro de Fevereiro Health Post Posto De Sa├║de	-6.8206	13.3153	-6.444	15.6152
St Raphael de Hekanme Centre Medical Centre M├®dical	6.7924	2.3214	6.9068	2.4453
Deme Centre de Sant├® dÔÇÖArrondissement	7.0673	2.1176	6.7003	2.5
Djegbe Centre de Sant├® dÔÇÖArrondissement	7.1696	2.0038	8.284	2.382
Bokaa Clinic	-24.4264	26.0167	-24.4208	26.0074
Kubung Health Post	-20.2788	23.1937	-24.633	25.3087
Phuduhudu Health Post	-20.1953	24.5364	-23.955	22.9839
Kagiso Clinic	-21.2047	27.5354	-22.2639	27.4568
Matopi Health Post	-21.4841	27.9378	-21.4841	27.9378
Mowana Health Post	-20.7522	27.5996	-22.1657	28.0468
Botswana Family Welfare Association Youth Clinic	0	0	0	0
Kera Centre de Sant├® Et de Promotion Sociale	12.6965	-2.7241	11.95	-3.7167
Zouma Centre de Sant├® Et de Promotion Sociale	12.6024	-1.6028	12.6689	-2.9264
Sabtenga Centre de Sant├® Et de Promotion Sociale	11.836	-0.5149	12.4508	-1.671
Boussouma Centre de Sant├® Et de Promotion Sociale	12.9091	-1.0843	11.7289	-0.6603
Yalgo Centre de Sant├® Et de Promotion Sociale	13.5024	-0.7815	11.5818	-0.0633
Yalgo Centre de Sant├® Et de Promotion Sociale	13.5889	-0.2625	11.5818	-0.0633
Ziga Centre de Sant├® Et de Promotion Sociale	12.6201	-0.8354	12.3613	-3.8033
Zongo Centre de Sant├® Et de Promotion Sociale	13.4244	-1.2325	12.3546	-1.5893
Basn├®r├® Centre de Sant├® Et de Promotion Sociale	11.9119	-1.7852	13.2585	-1.2598
Dio Centre de Sant├® Et de Promotion Sociale	11.7	-2.45	13.3287	-2.6368
Doudou Centre de Sant├® Et de Promotion Sociale	12.1688	-2.5466	12.2254	-3.7033
Lilbour├® Centre de Sant├® Et de Promotion Sociale	11.8743	-2.4986	13.152	-0.92
Loaga Centre de Sant├® Et de Promotion Sociale	12.2304	-2.0707	13.3175	-1.6518
Poa Centre de Sant├® Et de Promotion Sociale	12.3616	-2.6792	12.2071	-2.108
Secteur 1 Centre de Sant├® Et de Promotion Sociale	11.1001	-2.1044	13.0841	-1.0766
Secteur 10 Centre de Sant├® Et de Promotion Sociale	12.263	-2.3786	12.3778	-1.5531
Secteur 5 Centre de Sant├® Et de Promotion Sociale	11.086	-2.1145	13.3024	-1.5309
Secteur 5 Centre de Sant├® Et de Promotion Sociale	12.2432	-2.3385	13.3024	-1.5309
Secteur 7 Centre de Sant├® Et de Promotion Sociale	12.2377	-2.3626	13.1012	-1.103
Boala Centre de Sant├® Et de Promotion Sociale	11.3781	-1.4666	12.8656	-0.6997
Boura Centre de Sant├® Et de Promotion Sociale	11.6486	-1.1428	11.0413	-2.4956
├ëchelon Premier Centre de Sant├® Et de Promotion Sociale	12.0809	-1.347	11.0848	-1.1367
Gogo Centre de Sant├® Et de Promotion Sociale	11.5563	-0.9596	12.1289	-2.1967
Koro Centre de Sant├® Et de Promotion Sociale	11.4359	-1.4321	12.807	-3.6071
Tanghin Centre de Sant├® Et de Promotion Sociale	11.8398	-1.347	12.3297	-1.3958
To├®c├® Centre de Sant├® Et de Promotion Sociale	11.828	-1.2654	11.8297	-0.6687
Urbain Centre de Sant├® Et de Promotion Sociale	11.6608	-1.0744	11.1602	-1.1538
Urbain Centre de Sant├® Et de Promotion Sociale	12.0619	-1.3339	11.1602	-1.1538
Botou Centre de Sant├® Et de Promotion Sociale	12.4347	2.2209	12.4201	0.1521
Soula Centre de Sant├® Et de Promotion Sociale	13.4041	-0.2241	12.031	-2.0843
Tangaye Centre de Sant├® Et de Promotion Sociale	12.6314	-0.209	12.074	-0.0066
Yamba Centre de Sant├® Et de Promotion Sociale	12.7097	-0.1311	12.5175	-1.5011
Bass├® Centre de Sant├® Et de Promotion Sociale	11.6362	-3.8931	13.716	-1.65
Fara Centre de Sant├® Et de Promotion Sociale	11.6099	-4.6763	11.5247	-2.7665
Kari Centre de Sant├® Et de Promotion Sociale	11.38	-3.6117	12.2969	-3.5525
Toukoro Centre de Sant├® Et de Promotion Sociale	11.4202	-4.2497	12.1168	-4.3374
Urbain Centre de Sant├® Et de Promotion Sociale	10.9838	-4.9054	11.1602	-1.1538
Urbain Centre de Sant├® Et de Promotion Sociale	11.4649	-3.5299	11.1602	-1.1538
Wakuy Centre de Sant├® Et de Promotion Sociale	11.6744	-3.6384	11.9496	-3.6617
Barga Centre de Sant├® Et de Promotion Sociale	13.7986	-2.2679	13.6453	-0.7351
Bingo Centre de Sant├® Et de Promotion Sociale	13.5816	-2.4163	12.3043	-1.8353
Mene Centre de Sant├® Et de Promotion Sociale	13.8585	-2.3227	11.3744	0.115
Nich├® Centre de Sant├® Et de Promotion Sociale	13.7667	-2.0667	11.24	0.7104
Pella Centre de Sant├® Et de Promotion Sociale	13.6219	-2.6436	12.5836	-2.0362
Rambo Centre de Sant├® Et de Promotion Sociale	13.6106	-2.1142	13.2354	-1.807
Roba Centre de Sant├® Et de Promotion Sociale	13.6626	-2.4919	13.2825	-2.1443
Secteur 4 Centre de Sant├® Et de Promotion Sociale	12.9531	-2.2596	13.0678	-1.0801
Secteur 5 Centre de Sant├® Et de Promotion Sociale	12.9726	-2.2488	13.3024	-1.5309
Secteur 6 Centre de Sant├® Et de Promotion Sociale	12.9595	-2.2402	13.0914	-1.0616
Tampouy Centre de Sant├® Et de Promotion Sociale	13.0097	-2.3348	12.1218	-1.6883
Tangaye Centre de Sant├® Et de Promotion Sociale	13.2376	-2.2791	12.074	-0.0066
Tangaye Centre de Sant├® Et de Promotion Sociale	13.5407	-2.5463	12.074	-0.0066
Thiou Centre de Sant├® Et de Promotion Sociale	13.8032	-2.6592	11.9491	-2.1976
Ziga Centre de Sant├® Et de Promotion Sociale	13.4168	-2.307	12.3613	-3.8033
Bissiga Centre de Sant├® Et de Promotion Sociale	12.7009	-1.2058	11.8644	-0.0553
Gounghin Centre de Sant├® Et de Promotion Sociale	12.6467	-1.0458	12.1384	-0.0711
Sandogo Centre de Sant├® Et de Promotion Sociale	12.36	-1.9765	12.3193	-1.5976
Somassi Centre de Sant├® Et de Promotion Sociale	12.738	-1.4075	12.5832	-2.0873
Tanghin Centre de Sant├® Et de Promotion Sociale	12.3569	-0.6568	12.3297	-1.3958
Tibin Centre de Sant├® Et de Promotion Sociale	12.6211	-1.2462	13.0141	-2.3454
Urbain Centre de Sant├® Et de Promotion Sociale	12.5837	-1.2805	11.1602	-1.1538
Ziga Centre de Sant├® Et de Promotion Sociale	12.5707	-1.1165	12.3613	-3.8033
Badnogo Centre de Sant├® Et de Promotion Sociale	14.0563	-1.6486	12.3569	-1.1673
Bana Centre de Sant├® Et de Promotion Sociale	13.2261	0.7497	11.922	-3.3976
Bouna Centre de Sant├® Et de Promotion Sociale	13.6289	-0.151	13.7736	-1.9665
Urbain Centre de Sant├® Et de Promotion Sociale	13.4421	0.5237	11.1602	-1.1538
Urbain Centre de Sant├® Et de Promotion Sociale	14.0244	-0.026	11.1602	-1.1538
Urbain Centre de Sant├® Et de Promotion Sociale	14.4502	-0.2348	11.1602	-1.1538
Bapla Centre de Sant├® Et de Promotion Sociale	10.8908	-3.2603	9.8833	-2.9167
Communal Centre de Sant├® Et de Promotion Sociale	10.9762	-3.2483	12.4478	-3.4485
Koro Centre de Sant├® Et de Promotion Sociale	10.603	-3.597	12.807	-3.6071
Kinama Centre de Sant├® Health Centre	-3.3096	29.5197	-3.332	29.381
Rukaramu Centre de Sant├® Health Centre	-3.3227	29.3115	-3.3446	29.4841
Kinama Centre de Sant├® Health Centre	-3.8777	29.5591	-3.332	29.381
Rutovu Centre de Sant├® Health Centre	-3.8811	29.8447	-3.8811	29.8447
Gitwenge Centre de Sant├® Health Centre	-3.0674	30.6713	-3.1959	30.7968
Murago Centre de Sant├® Health Centre	-3.2568	30.6938	-3.8033	29.4364
Murore Centre de Sant├® Health Centre	-3.188	30.6643	-3.1881	30.6639
Rubirizi Centre de Sant├® Health Centre	-2.7399	29.0774	-3.3034	29.3978
Ruhagarika Centre de Sant├® Health Centre	-2.9672	29.1959	-2.9673	29.1958
Ruziba Centre de Sant├® Health Centre	-2.7011	29.1015	-3.4711	29.3495
Buhoro Centre de Sant├® Health Centre	-3.5179	30.0494	-2.7193	29.1846
Kibimba Centre de Sant├® Health Centre	-3.2955	29.7991	-3.1243	30.7046
Maramvya Centre de Sant├® Health Centre	-3.5513	29.9767	-3.974	29.4376
Mubuga Centre de Sant├® Health Centre	-3.4162	30.0266	-4.0114	29.6543
Nyabiraba Centre de Sant├® Health Centre	-3.5641	29.8903	-3.4646	29.4716
Ntunda Centre de Sant├® Health Centre	-2.9926	30.1238	-3.085	30.756
Nyarunazi Centre de Sant├® Health Centre	-3.305	30.1455	-3.7853	29.9592
Nyarurambi Centre de Sant├® Health Centre	-3.3359	30.0718	-3.1521	30.4542
Rugazi Centre de Sant├® Health Centre	-3.0177	30.045	-3.2305	29.4654
Mubuga Centre de Sant├® Health Centre	-2.9864	29.6001	-4.0114	29.6543
Munini Centre de Sant├® Health Centre	-2.939	29.6782	-4.0122	29.7419
Ninga Centre de Sant├® Health Centre	-3.136	29.6893	-3.2701	29.3195
Rugazi Centre de Sant├® Health Centre	-2.8435	29.4906	-3.2305	29.4654
Buhoro Centre de Sant├® Health Centre	-2.4967	30.3792	-2.7193	29.1846
Gikomero Centre de Sant├® Health Centre	-2.7684	30.079	-3.1451	29.8213
Mugina Centre de Sant├® Health Centre	-2.5864	29.9516	-2.7558	29.105
Murore Centre de Sant├® Health Centre	-2.5544	30.2409	-3.1881	30.6639
Muyange Centre de Sant├® Health Centre	-2.4972	30.0433	-3.8223	29.4772
Makamba Centre de Sant├® Health Centre	-4.1355	29.8025	-4.1364	29.8154
Muyange Centre de Sant├® Health Centre	-4.3009	29.6948	-3.8223	29.4772
Bugarama Centre de Sant├® Health Centre	-3.2929	29.547	-3.6926	29.3573
Bukeye Centre de Sant├® Health Centre	-3.1973	29.6436	-4.2937	29.9126
Busangana Centre de Sant├® Health Centre	-3.1556	29.6181	-3.2585	29.8996
Gasura Centre de Sant├® Health Centre	-3.2314	29.8018	-2.6786	30.0958
Gatabo Centre de Sant├® Health Centre	-3.2812	29.7072	-4.0875	30.1105
Kivoga Centre de Sant├® Health Centre	-3.2311	29.722	-4.316	29.8693
Kivoga Centre de Sant├® Health Centre	-3.2311	29.7219	-4.316	29.8693
Rweza Centre de Sant├® Health Centre	-3.2978	29.6091	-4.1064	29.607
Gisanze Centre de Sant├® Health Centre	-2.7792	30.1805	-3.9818	29.6471
Gitaramuka Centre de Sant├® Health Centre	-2.9227	30.3995	-2.9812	30.1726
Muramba Centre de Sant├® Health Centre	-2.9864	30.3533	-3.8808	29.5728
Nyagatovu Centre de Sant├® Health Centre	-2.7499	30.1771	-3.9716	29.7175
Nyarunazi Centre de Sant├® Health Centre	-2.9999	30.3774	-3.7853	29.9592
Rabiro Centre de Sant├® Health Centre	-2.6417	30.3958	-3.1994	30.248
Rugari Centre de Sant├® Health Centre	-2.7317	30.396	-3.2706	29.761
Kibimba Centre de Sant├® Health Centre	-3.5829	29.6281	-3.1243	30.7046
Murambi Centre de Sant├® Health Centre	-3.3967	29.6367	-3.6187	29.8294
Mutumba Centre de Sant├® Health Centre	-3.5224	29.6894	-3.5883	29.3619
Muyebe Centre de Sant├® Health Centre	-3.501	29.7835	-3.1378	29.4859
Ndava Centre de Sant├® Health Centre	-3.3778	29.7792	-3.026	29.2553
Buye Centre de Sant├® Health Centre	-2.8628	29.8181	-2.9504	29.9102
Giheta Centre de Sant├® Health Centre	-2.7228	29.9675	-3.3704	29.8622
Kiremba Centre de Sant├® Health Centre	-2.8224	29.9821	-3.9445	29.6707
Mubuga Centre de Sant├® Health Centre	-2.9523	29.867	-4.0114	29.6543
Murehe Centre de Sant├® Health Centre	-2.7504	30.0182	-3.1971	30.4064
Mwumba Centre de Sant├® Health Centre	-2.8608	29.7919	-3.7457	29.6007
Nyagatovu Centre de Sant├® Health Centre	-2.8754	30.1624	-3.9716	29.7175
Nyamugari Centre de Sant├® Health Centre	-2.7551	29.9347	-3.3319	30.5555
Nyange Centre de Sant├® Health Centre	-2.8437	29.7118	-4.1463	29.8747
Ruhororo Centre de Sant├® Health Centre	-3.0226	29.8906	-2.6327	29.2182
Gitanga Centre de Sant├® Health Centre	-3.983	29.9181	-3.0747	30.5301
Kabanga Centre de Sant├® Health Centre	-4.036	30.0822	-2.5107	30.3101
Kivoga Centre de Sant├® Health Centre	-3.8529	29.9161	-4.316	29.8693
Mpinga Centre de Sant├® Health Centre	-3.7447	30.1759	-4.0612	29.7746
Ngara Centre de Sant├® Health Centre	-3.6709	30.2185	-3.1292	29.3637
Buruhukiro Centre de Sant├® Health Centre	-3.3845	30.3018	-4.0076	29.4945
Butezi Centre de Sant├® Health Centre	-3.3894	30.1633	-3.8546	30.2175
Kabanga Centre de Sant├® Health Centre	-3.6287	30.407	-2.5107	30.3101
Kigamba Centre de Sant├® Health Centre	-3.4169	30.2364	-3.0747	30.5301
Nyarunazi Centre de Sant├® Health Centre	-3.2442	30.3923	-3.7853	29.9592
Bethesda Centre de Sant├® Health Centre	3.8913	11.5449	3.8521	11.5603
Ebogo Centre de Sant├® Integre Centre De Sant├® Int├®gr├®	4.147	11.8626	3.3927	11.4745
Ebogo Centre de Sant├® Integre Centre De Sant├® Int├®gr├®	4.3351	11.4068	3.3927	11.4745
Ekoudou Centre de Sant├® Integre Centre De Sant├® Int├®gr├®	3.8756	11.5048	3.4174	12.1372
Melen Centre de Sant├® Integre Centre De Sant├® Int├®gr├®	3.8596	11.4974	3.6662	11.3231
Nguibassal Centre de Sant├® Integre Centre De Sant├® Int├®gr├®	4.0944	11.0549	3.5723	10.8048
Ntouessong Centre de Sant├®┬áIntegre Centre De Sant├® Int├®gr├®	4.0167	11.35	3.7167	11.4333
Saint Michel Centre de Sant├® Health Centre	3.8425	11.4855	-3.3799	29.3676
Ste Salome Centre de Sant├® Health Centre	4.2307	11.5251	3.7811	12.2377
Bindiba Centre de Sant├® Integre Centre De Sant├® Int├®gr├®	6.0585	14.3938	6.3637	13.7915
Doume Centre de Sant├® Integre Centre De Sant├® Int├®gr├®	4.2365	13.4504	5.8947	12.2746
Mayos Centre de Sant├® Integre Centre De Sant├® Int├®gr├®	4.1104	12.8134	4.0626	12.8112
Ndjassi Centre de Sant├® Integre Centre De Sant├® Int├®gr├®	4.2495	13.8346	5.031	12.5848
Ndongo Centre de Sant├® Integre Centre De Sant├® Int├®gr├®	2.0917	14.8963	4.0596	10.8475
Doumrou Centre de Sant├® Integre Centre De Sant├® Int├®gr├®	10.6862	14.1184	10.0327	14.4804
Abang Centre de Sant├® Integre Centre De Sant├® Int├®gr├®	4.9437	9.7677	3.6268	11.5023
Ebombe Centre de Sant├® Integre Centre De Sant├® Int├®gr├®	3.8062	10.3612	3.7934	10.1689
Espoir Centre de Sant├® Integre Centre De Sant├® Int├®gr├®	4.6944	9.7137	3.769	10.1273
Gare Centre de Sant├® Integre Centre De Sant├® Int├®gr├®	4.1576	9.6012	3.8921	10.1
Gare Centre de Sant├® Integre Centre De Sant├® Int├®gr├®	4.2231	9.6174	3.8921	10.1
Kotto Centre de Sant├® Integre Centre De Sant├® Int├®gr├®	4.3513	9.5139	4.0834	9.7596
La Grace Centre de Sant├® Integre Centre De Sant├® Int├®gr├®	4.5774	9.6516	4.4342	11.8981
Manoka H├┤pital de District	4.0281	9.6823	3.8645	9.6212
Misericorde Centre de Sant├® Integre Centre De Sant├® Int├®gr├®	4.6333	9.6802	3.6326	10.7783
Ndogbele UEBC Centre de Sant├® Health Centre	4.4603	9.9581	3.8442	9.8173
Djalingo Centre de Sant├® Integre Centre De Sant├® Int├®gr├®	9.2236	13.4423	8.535	12.7396
Karewa Centre de Sant├® Integre Centre De Sant├® Int├®gr├®	9.7677	13.9782	9.172	13.5609
Kollere Centre de Sant├®┬áIntegre Centre De Sant├® Int├®gr├®	9.4202	13.3464	9.0029	13.092
Lam Centre de Sant├® Integre Centre De Sant├® Int├®gr├®	10.0592	14.13	9.5726	13.9161
Ndjola Centre de Sant├® Integre Centre De Sant├® Int├®gr├®	9.2973	13.3898	9.0867	13.5071
Pomla Centre de Sant├® Integre Centre De Sant├® Int├®gr├®	9.2968	13.3888	8.7629	12.8707
Sabongari Centre de Sant├® Integre Centre De Sant├® Int├®gr├®	9.4732	13.5491	7.3232	13.5846
Tapare Centre de Sant├® Integre Centre De Sant├® Int├®gr├®	8.6182	12.8531	4.7383	14.2788
Tchamba Centre de Sant├® Integre Centre De Sant├® Int├®gr├®	8.6154	12.8051	6.3602	11.4785
Tongo Centre de Sant├® Integre Centre De Sant├® Int├®gr├®	8.9064	13.5094	4.8912	10.404
Hope Solidarity Centre de Sant├® Health Centre	5.942	10.6127	3.8705	11.5488
Akak Centre de Sant├® Integre Centre De Sant├® Int├®gr├®	2.2162	10.9857	3.3386	12.1799
Elon Centre de Sant├® Integre Centre De Sant├® Int├®gr├®	3.2384	10.8929	3.1277	11.5878
Essong Centre de Sant├® Integre Centre De Sant├® Int├®gr├®	2.5246	12.6584	4.1601	11.4436
