assessment_snomed_concept_id	vital	category	display_order	required_for_triage	created_at	updated_at
1104441000000107	consciousness	consciousness	1	t	2025-11-17 07:06:40.617173-05	2025-11-17 07:06:40.617173-05
301438001	mobility_assessment	mobility	2	t	2025-11-17 07:06:40.62073-05	2025-11-17 07:06:40.62073-05
417746004	trauma_presence	trauma	3	t	2025-11-17 07:06:40.623872-05	2025-11-17 07:06:40.623872-05
