iso_639_2	iso_639_3	iso_639_5	iso_639_1	language_names	scope	type	native_names	other_names
cor	cor		kw	Cornish	Individual	Living	*Kernowek*	
cos	cos		co	Corsican	Individual	Living	*Corsu*; *Lingua corsa*	
cpe		cpe		Creoles and pidgins, English based	Collective	Genetic-like		
cpf		cpf		Creoles and pidgins, French-based	Collective	Genetic-like		
cpp		cpp		Creoles and pidgins, Portuguese-based	Collective	Genetic-like		
cre	cre		cr	Cree	Macrolanguage	Living	ᓀᐦᐃᔭᐍᐏᐣ	
crh	crh			Crimean Tatar; Crimean Turkish	Individual	Living	Къырымтатарджа; Къырымтатар тили; Ҡырымтатарҗа; Ҡырымтатар тили; *Qırımtatar  tili*	
crp		crp		Creoles and pidgins	Collective	Genetic-like		
csb	csb			Kashubian	Individual	Living	*Kaszëbsczi jãzëk*	Cassubian
cus		cus		Cushitic languages	Collective	Genetic		
cym / wel*	cym		cy	Welsh	Individual	Living	*Cymraeg*; *y Gymraeg*	
dak	dak			Dakota	Individual	Living	*Dakhótiyapi*; *Dakȟótiyapi*	
dan	dan		da	Danish	Individual	Living	*Dansk*	
dar	dar			Dargwa	Individual	Living	Дарган мез	
day		day		Land Dayak languages	Collective	Genetic		
del	del			Delaware	Macrolanguage	Living	*Lënapei èlixsuwakàn*	
den	den			Slave (Athapascan)	Macrolanguage	Living	*Dene K'e*	Slavey
deu / ger*	deu		de	German	Individual	Living	*Deutsch*	
dgr	dgr			Tlicho; Dogrib	Individual	Living	Tłı̨chǫ Yatıì	
din	din			Dinka	Macrolanguage	Living	*Thuɔŋjäŋ*	
div	div		dv	Divehi; Dhivehi; Maldivian	Individual	Living	ދިވެހި ދިވެހިބަސް, *Divehi*	
doi	doi			Dogri	Macrolanguage	Living	𑠖𑠵𑠌𑠤𑠮; डोगरी; ڈوگرى	
dra		dra		Dravidian languages	Collective	Genetic		
dsb	dsb			Lower Sorbian	Individual	Living	*Dolnoserbski*; *Dolnoserbšćina*	
dua	dua			Duala	Individual	Living	*Duálá*	
dum	dum			Dutch, Middle (ca.1050–1350)	Individual	Historical		
dyu	dyu			Dyula	Individual	Living	*Julakan*	Jula
dzo	dzo		dz	Dzongkha	Individual	Living	རྫོང་ཁ་, *Ĵoŋkha*	
efi	efi			Efik	Individual	Living	*Usem Efịk*	
egy	egy			Egyptian (Ancient)	Individual	Historical		
eka	eka			Ekajuk	Individual	Living	*Ekajuk*	Kajuk
ell / gre*	ell		el	Greek, Modern (1453–)	Individual	Living	Νέα Ελληνικά, *Néa Ellêniká*	
elx	elx			Elamite	Individual	Historical		
eng	eng		en	English	Individual	Living	English	
enm	enm			English, Middle (1100–1500)	Individual	Historical		
epo	epo		eo	Esperanto	Individual	Constructed	*Esperanto*	
est	est		et	Estonian	Macrolanguage	Living	*Eesti keel*	
eus / baq*	eus		eu	Basque	Individual	Living	*Euskara*	
ewe	ewe		ee	Ewe	Individual	Living	*Èʋegbe*	
ewo	ewo			Ewondo	Individual	Living	*Ewondo*	Kolo
fan	fan			Fang	Individual	Living	*Fang*	
fao	fao		fo	Faroese	Individual	Living	*Føroyskt*	
fas / per*	fas		fa	Persian	Macrolanguage	Living	فارسی, *Fārsī*	Farsi
fat	fat			Fanti	Individual	Living	*Mfantse*; *Fante*; *Fanti*	Fante
fij	fij		fj	Fijian	Individual	Living	*Na Vosa Vakaviti*	
fil	fil			Filipino; Pilipino	Individual	Living	*Wikang Filipino*	
fin	fin		fi	Finnish	Individual	Living	*suomen kieli*	
fiu		fiu		Finno-Ugrian languages	Collective	Genetic		Finno-Ugric languages
fon	fon			Fon	Individual	Living	*Fon gbè*	
fra / fre*	fra		fr	French	Individual	Living	*Français*	
frm	frm			French, Middle (ca.1400–1600)	Individual	Historical	*François*; *Franceis*	
